TEX1_0	~g~那家伙正在球场里享受着高尔夫。让他有去无回！
TEX1_1	~g~前往时装店穿上高尔夫装。
TEX1_10	宰了那疯子！
TEX1_2	~g~现在前往高尔夫俱乐部。
TEX1_3	这小子哪杀出来的？！小的们，上！
TEX1_6	好尻，宝贝儿！
TEX1_7	这还是我么？
TEX1_8	没有装备任何近战武器时，进入高尔夫车即可获得高尔夫球棒。
TEX1_9	宰了他！
TEX1_A	进来坐下吧，孩子。
TEX1_B	唉…我老爹常说，千万别相信空头支票，可他从来就做不到。
TEX1_C	来干一杯陈年老酒吧？
TEX1_D	不了，谢谢。
TEX1_E	明智的抉择！我喜欢。
TEX1_F	现在的房地产业不再只是资本流动那么简单了。
TEX1_G	它已经化为了你死我活的修罗场！孩子，你愿意与我一道吗？
TEX1_H	可以。
TEX1_I	我正好想要除去一个混蛋，但需要些帮手。
TEX1_J	我看你正是那种可以“说服”他的人。
TEX1_K	“说服”可是我的长项。
TEX1_L	他等会儿就会到乡村俱乐部的高夫球场那儿打球。
TEX1_M	球场内不允许携带枪支，所以说他的保镖们也不会带枪。
TEX1_N	过去把他打到亲爹都认不出来吧。
TEX1_O	拿好了，这是我的会员卡，还有，你最好去搞一套高尔夫装。
