HELP38	如果你杀死拿有武器的人，他的武器就会掉落。
HELP39	你可以在射击油桶来造成爆炸，但注意要离远一点。
LAW4_1	请解散。管理部门会以恰当的方式解决你们的不满的！
LAW4_13	~g~与至少4个工人开打以发起暴动。
LAW4_14	~g~破坏院子里的货车！
LAW4_2	请解散。回家吧！
LAW4_3	请解散！这种方式不合适！
LAW4_4	请解散。你们会暴尸街头的！
LAW4_5	伙计们坚持住！把暴徒全部消灭！
LAW4_A	艾弗里，不用你说我也懂…汤米！汤米！有进展吗？算了算了，待会再说，待会再说。
LAW4_B	汤米，这位是艾弗里·卡林顿，你们在派对上见过面吧？
LAW4_C	没有私下见过。
LAW4_D	你好。
LAW4_E	艾弗里这次前来是有话要说。
LAW4_F	就不能集中精力做该做的事情吗？
LAW4_G	我这是在防患于未然啊！拜托给我一点宽容吧？！
LAW4_H	我现在就是只惊弓之鸟。如果说这周末就是我的忌日的话，我可希望我的遗容好看一些。
LAW4_I	都冷静些，你们两位。
LAW4_J	孩子，如果你帮我做事，以后若有哪个混账惹毛你了，我一定让他吃不了兜着走。
LAW4_K	OK。要我去做什么？
LAW4_L	快递公司在黄金地段建了个仓库，还不肯卖走。
LAW4_M	他们跟茅坑里的石头一样，又臭又硬，因此，我们打算把那些寄生虫给赶出去。
LAW4_N	到那里去，把马蜂窝大捅一番。
LAW4_O	这样就能分散保安们的注意力，以便你秘密进入，搅乱他们的生意。
LAW4_P	先去拉斐尔服装店换一身衣服。工装有点难找…不过还是，试试吧。
LAW4_Q	搞一场暴乱是吧？
LAW4_R	要是这一桩成了，不妨抽空来我办公室坐坐…
