BJM3_2	~r~希拉里·金死了！
BJM3_2A	你就是汤米？没错，你就是汤米。
BJM3_2B	除了你谁还会来找我呢？
BJM3_2C	OK。听好了，
BJM3_2D	只要你驾车技术了得，我就给你开车。
BJM3_2E	别靠我那么近，不然我不会原谅你的。
BJM3_4	~g~不开车怎么比赛？
BJM3_A	万事俱备，只欠东风了。
BJM3_B	计划是什么，汤米？Que pasa, amigo?（要怎么干，伙计？）
BJM3_C	计划就是你继续扮演智障。不管怎么样，我们需要一位司机。
BJM3_D	汤米，我来干！我会开车！
BJM3_E	希拉里是你要找的人。这种满口大话的法律系白痴可不是。
BJM3_F	希拉里可是有真功夫的。跑得比谁都快。我现在就给他打电话。
BJM3_G	嘿，阿希，我是菲尔。最近怎么样？别，先别说话，以后再碎碎念。能帮我个忙吗？
BJM3_H	我认识了个从自由城来的小伙子。不，不，不是炮友，他想找个司机。
BJM3_I	找人组队“干大事”。OK，我明白。
BJM3_J	他说什么？
BJM3_K	他愿意，没问题的…那个…可能还有个问题，因为自小被遗弃，他有点心理问题。
BJM3_L	他从来不给开得比他慢的人开车。怪他妈妈没教好他吧。
BJM3_M	总之，他想先跟你比试比试，他说他在外面等着你了。
BNK3_1	OK，我会给你开车的，但是拜托不要靠我太近…
BNK3_3A	在罪城之角，有人非法赛车。
BNK3_3B	呼叫所有警官！
BNK3_3C	街头车手们，在此赛车可是犯法的！
