DEFSAFE	~g~前去保护保险柜。
FIN1_01	怎么了？
FIN1_02	汤米！喔，太好了，太好了。听着，听着…呃…听着。
FIN1_03	我喜欢鱼，我超爱鱼的。
FIN1_04	喜欢在鱼缸里的鱼，喜欢在餐桌上的鱼。
FIN1_05	可是就算我再怎么喜欢它们，我也不想和它们一块儿长眠啊！
FIN1_06	OK，你的意大利老乡们杀过来了，他们打算在我脚底下灌满水泥，把我送去喂鱼，而我…
FIN1_07	闭嘴，肯。坐下来。
FIN1_08	兰斯，到底怎么搞的？
FIN1_09	你那些北方来的老朋友，听说派来的先锋被杀了，非常不爽。
FIN1_10	他们今天要亲自来“探访下生意”。
FIN1_11	来得比我想象的要晚…
FIN1_12	伙计们，是时候做个了结了。让他们知道罪城是我说了算！是我！
FIN1_13	肯，你去把假钞拿来，塞三百万进去。
FIN1_14	兰斯，你去召集弟兄们…
FIN2_01	汤米！
FIN2_02	怎么？不想跟老朋友抱一抱么？
FIN2_03	我已经离开家族十五年了，
FIN2_04	这套家族礼节我忘得差不多了。
FIN2_05	说话还是这么冲啊，汤米。
FIN2_06	我不是告诉过你，你这破脾气迟早要捅出篓子来么？嗯？
FIN2_07	包里有三百万美金…
FIN2_08	当年你杀了多少人啊？10个？不，11个喔…
FIN2_09	从此你就有了“哈伍德屠夫”这个外号！呵呵呵！
FIN2_10	你叫我去杀一个人…就一个人！可他们明知道我要来！桑尼…
FIN2_11	汤米，汤米，说话注意点儿…
FIN2_12	你因为坐牢那件事儿怪我，这可以理解。
FIN2_13	拿着钱走吧…
FIN2_14	把钱带走。
FIN2_15	可是你知道吗，汤米？能做的我都为你做了。我拉过关系…找过弟兄…
FIN2_16	我们可是老朋友啊，汤米。我还以为你是个明白人，能从大局出发。
FIN2_17	我那么信任你，汤米，你却让我失望了…
FIN2_18	不过，至少你的三流帮派里面还是有位明白人的。
FIN2_19	是不是，兰斯？
FIN2_20	对不住了，汤米。这才是罪恶都市，这才是生意！
FIN2_21	你出卖我们…
FIN2_22	不，我只出卖了你！汤米，只卖了你！
FIN2_23	真钞在楼上的保险柜里。
FIN2_24	汤米，你的如意算盘呢？
FIN2_25	你以为我会带走假钞，
FIN2_26	装模作样，夹着尾巴走掉么？！
FIN2_27	不。
FIN2_28	我只是想在你死之前耍你一番罢了…
FIN3_01	汤米？
FIN3_02	天哪，汤米！发生了什么？
FIN3_03	你觉得呢。
FIN3_04	我觉得你把衣服给弄脏了啊！
FIN3_05	汤米，这件衣服原来多好看啊！汤米，到底发生了什么？
FIN3_06	我和一位生意上的伙伴产生了分歧，你明白的。
FIN3_07	汤米，要是我遇到了分歧，我就会写信去祝他亲妈挂树！
FIN3_08	或许还会在他信箱里撒泡尿！这样还不会引发第三次世界大战。
FIN3_09	那个，或许你该和我的心理医生谈谈…
FIN3_10	兰斯那个蠢货…
FIN3_11	汤米，我从来不喜欢那个家伙，OK？
FIN3_12	他是个神经质！他靠不住！他还很自大！那家伙就是个混账！
FIN3_13	还好你把他给解决了！
FIN3_14	我看，以后再也不会有北方的来搅事了…
FIN3_15	…因为再也没有北方的人了。
FIN3_16	现在是南方的天下。
FIN3_17	等等，这就是说…和我想的一样吗…？！汤米！宝贝儿！
FIN3_18	你说呢？
FIN3_19	那就是说我们是头儿了…我是说，你是头儿了！喔！汤米！
FIN3_20	肯，我认为，一个宏伟的商业帝国即将建立…
FIN3_21	到头来，你是一个共谋犯、二五仔、毛头小贼…
FIN3_22	而我是个双手沾满鲜血的大毒枭。
FIN3_23	我知道。这也蛮不错的…
FIN_B1	~g~杀了~y~兰斯·万斯~g~…
FIN_B2	~g~杀死~p~桑尼·弗雷利~g~，结束这场纷争！
FIN_B3	~g~弗雷利黑手党试图劫走你的所有现金！保护好保险柜！
FIN_B4	~g~弗雷利家族的人火力很猛！快去楼下拿~w~生命补给~g~。
FIN_B5	~g~弗雷利黑手党正在劫走你的所有现金！保护好~c~保险柜~g~！
FIN_B7	~r~所有现金都被劫走了。
