HELP23	雷达上的~h~锤子图标~w~代表五金店，可以在那里购买近战武器。
HELP40	你可以用锤子或者其他近战武器毁坏车辆。
HELP41	你也可以驾驶其他载具撞击车辆。
LAW3_1	“乔治”表示很抱歉。
LAW3_16	干掉Florida Moron。
LAW3_17	闪开！
LAW3_2	记住，“有罪”这词很难听。
LAW3_20	~g~砸烂陪审员的车！
LAW3_21	到底发生了什么啊！
LAW3_22	难以置信！
LAW3_23	行了！行了，老兄！我知道了！
LAW3_24	~g~那把锤头应该会有用。
LAW3_3	他有没有罪我说了算。
LAW3_4	你知道他是“清白”的。
LAW3_5	还记得“乔治”吗？他可是“清白”的。
LAW3_6	他没有罪，明白吗？很好。
LAW3_7	~g~恐吓那两个陪审员，可别失手杀了他们！
LAW3_8	~r~你杀掉了陪审员！
LAW3_9	~g~砸烂陪审员的车逼他出来！
LAW3_A	啊啊啊啊！喔，吓死我了，是你啊！喔，天哪…得换条新裤子了！
LAW3_B	北方的那些家族大佬们已经吹响了南下的号角，他们就快到这边来了。
LAW3_C	可是我们连钱的下落都不知道啊！
LAW3_D	别紧张，别紧张。我们还没到山穷水尽的地步。
LAW3_E	喔喔喔…我知道你正在跟进调查了，我当然知道！
LAW3_F	但是，家族的大佬们又命令我去给他们擦屁股。
LAW3_G	意思就是说我要去给他们擦屁股。
LAW3_H	喔，当然又是要拜托你了。我看起来像是能够恐吓陪审团的人吗？
LAW3_I	我连一个小屁孩都恐吓不了——真的，我试过。
LAW3_J	好了，听着。桑尼的表亲“乔治”，因为诈骗被判了五年。
LAW3_K	你得去说服那些陪审团的人！
LAW3_L	我知道的。让陪审团改变想法。别担心。
LAW3_M	不不不不不不！我试过。他们才不会那么配合，
LAW3_N	所以，逼他们改变想法…
