PHI2_01	~g~快！把菲尔送到医院去！
PHI2_03	~r~菲尔·卡西迪死了！GTA系列的剧情没有办法继续了！
PHI2_04	菲尔：
PHI2_05	不是这一家，老兄！这里的警察和越共也太多了吧！
PHI2_06	有个老军医欠我一个人情和一台割草机。
PHI2_07	他在小哈瓦开了家医院。喔喔，看！一条大鱼！
PHI2_08	当心！越共藏在树后面！
PHI2_09	是我是果冻做的呢，还是这条路是果冻做的？
PHI2_10	破勺子打中了老母的老母鸡，你知唔知？
PHI2_11	勺子赢了！勺子最棒！勺子赛高！呜——呜！
PHI2_12	他冲着我来了，小子！
PHI2_13	那对有着黑色羽毛的翅膀四处拍打…
PHI2_14	太美了，兄弟…太美了…不过，好冷啊…
PHI2_15	10-4 发现一个酒驾司机。
PHIL2_A	嘿，菲尔，近来如何？
PHIL2_B	嘿——汤米。你好啊，好久不见…
PHIL2_C	别再折腾那些易爆烈酒了，老兄，
PHIL2_D	闻起来像油漆清洗剂…真心辣眼睛…
PHIL2_E	嘘——嘘——汤米，
PHIL2_F	来这儿，我有个祖传大宝贝给你瞧瞧…祖传大宝贝。
PHIL2_G	喔！天啊…这味道一条街以外就闻得清清楚楚了！我脑袋胀胀的…
PHIL2_H	别担心那种味道，汤米。你就给我看着吧…
PHIL2_I	妈的垃圾山寨电池，下次在海滩上捡电池我只挑南孚…
PHIL2_J	嗒哒！
PHIL2_K	嗷！他妈的！
PHI_AS1	菲尔任务完成
PHI_AS2	~g~你可以从菲尔那里买到新的武器了。
