PSYCH_1	俺要火烧爱之拳！
PSYCH_2	爱之拳毁了俺的生活！
RBM2_1	~g~开车去签名会现场并找出黑粉。
RBM2_2	~r~你弄坏了乐队的轿车！
RBM2_3	~g~去签名会现场！
RBM2_4	~g~追上那个黑粉！别让他跑了！
RBM2_5	~r~你跟丢他了，你个白痴！
RBM2_7	~r~粉丝被攻击了，黑粉不会出现了！
RBM2_8	~r~安保人员被攻击了，黑粉不会出现了！
RBM2_A	汤米小哥。真高兴见到你！
RBM2_B	出什么事了？
RBM2_C	坏消息，汤米…
RBM2_D	是啊，这回不是开玩笑了。我们麻烦大了，你知道吗？
RBM2_E	有个黑粉闹事。我们不认得他，但他认得我们。
RBM2_F	跟保罗一样，对我们了如指掌——
RBM2_G	知道威利喜欢舔他妹子内衣！
RBM2_H	还知道佩尔西喜欢“杜兰杜兰”乐队！
RBM2_I	别多嘴，混蛋！你不是还喜欢人兽吗？！
RBM2_J	我的喜欢什么乐队关你屁事？
RBM2_K	好…是关我屁事。现在那个黑粉…
RBM2_L	呀呀…那黑粉想要我们乐队下地狱…
RBM2_M	下地狱啊，汤米。
RBM2_N	如果爱之拳下地狱了。大家都会觉得是天妒英才啊！
RBM2_O	汤米，你得救救爱之拳啊！
RBM2_P	我们两小时后有场签名会…
RBM2_Q	乐队成员们觉得啊，舍不得孩子套不着狼…
RBM2_R	闭嘴！
