HOTR_01	~g~本场竞速共有12圈。只有第一名、第二名和第三名有获得奖金的资格。
HOTR_02	~g~如果你的车损毁，你将失去竞赛资格。
HOTR_03	~g~你可以在维修站修理受损的车子。
HOTR_04	~g~此处可离开体育馆。
HOTR_05	车辆耐久：
HOTR_06	圈数：
HOTR_07	新的最短用时：~1~:0~1~
HOTR_08	时间：~1~:~1~
HOTR_09	排名：
HOTR_10	竞速时间：
HOTR_11	新的单圈用时纪录：~1~.~1~秒
HOTR_12	~r~你的车已损毁！
HOTR_13	~r~你没能赢得比赛！
HOTR_14	~r~你失去了参赛资格！
HOTR_15	时间：~1~:~1~
HOTR_16	时间：~1~:0~1~
HOTR_17	最短用时：~1~:~1~
HOTR_18	最短用时：~1~:0~1~
HOTR_19	最短用时：不存在
HOTR_20	新的最短用时：~1~:~1~
HOTR_21	新的最短用时：~1~:0~1~
HOTR_22	最佳名次：不存在
HOTR_23	最佳名次：第1名
HOTR_24	最佳名次：第2名
HOTR_25	最佳名次：第3名
HOTR_26	最佳名次：第~1~名
HOTR_27	新的单圈用时纪录：~1~.~1~秒
HOTR_28	新的单圈用时纪录：~1~.~1~秒
HOTR_29	$~1~
HOTR_30	第一名
HOTR_31	第二名
HOTR_32	第三名
HOTR_33	新的单圈用时纪录：不存在
HOTR_34	新的单圈用时纪录：~1~.0~1~秒
