PRO3_01	OK，兰斯，我们去吸引条子的注意！
PRO3_02	~g~驾驶警车潜入封锁区域，随后在柏油刷咖啡店（Tarbrush）内安放炸弹！
PRO3_03	~g~ 怎么把兰斯给落下了？！回去带上他！
PRO3_04	~g~ 行动吧。
PRO3_05	~r~你杀死了兰斯！
PRO3_07	~g~ 你路出马脚了！快点安放炸弹！
PRO3_08	~g~返回~h~维赛迪宅~g~。
PRO3_09	绑起来，塞住嘴巴！
PRO3_10	噢吼。蛮合身！
PRO3_11	就是菊花有点紧…
PRO3_12	噢对对，我也会有一点。
PRO3_13	放松点兄弟！条子开车一般都很稳！
PRO3_14	记住——对其他的警察要微笑。
PRO3_15	嘿，那边的大兄弟。徽章挺酷的嘛！
PRO3_16	油嘴滑舌啊兰斯。
PRO3_17	好了，炸弹设置好了，五秒钟后爆炸。
PRO3_18	五秒钟？！妈的赶紧溜啊！
PRO3_19	现在他们生气咯。
PRO3_20	~g~让两名警察跟着你进入车库。
PRO3_21	~g~获得至少一颗警星，让两名警察跟着你进入车库。
PRO3_22	~g~门关不上！清除挡在门口的东西。
PRO3_23	~g~走进标志区内安放炸弹。
PRO3_24	~g~赶紧开溜！
PRO3_A	你这个白痴！脑袋里装的都是什么？！
PRO3_A1	好吧。
PRO3_B	知道会有什么后果吗？！
PRO3_C	我们会被你害死的！
PRO3_D	当时定时器突然故障…
PRO3_E	店里面乱成了一锅粥。
PRO3_F	接着就有人报警了…
PRO3_G	怎么回事，兄弟们？
PRO3_H	麦克本来是要去商城引爆炸弹的，
PRO3_I	可他搞错了引线！现在条子全赶来了。
PRO3_J	我们得快去把炸弹夺回来，然后迅速撤离！
PRO3_K	你们两个都镇静些！我来想想办法！
PRO3_L	我汤米.维赛迪还在这呢。
PRO3_M	条子准备在商城里展开地毯式搜索，是吧？
PRO3_N	不过这需要时间，
PRO3_O	我们趁机潜入进去，把炸弹引爆。
PRO3_P	好啊，不过…
PRO3_Q	除了条子以外没有人能进去！
PRO3_R	那么我们就当一次条子吧。
PRO3_S	搞两套制服来，外加一辆警车。
PRO3_T	真是“谢谢你”了，麦克。
PRO3_U	我很抱歉…
PRO3_V	想到了！
PRO3_W	我们只需要去戏弄一下条子们，
PRO3_X	引他们到车库里，
PRO3_Y	然后偷袭！
PRO3_Z	好计划。行动吧！
PRO_AS1	维赛迪安保资产任务完成
PRO_AS2	~g~维赛迪宅将会定期盈利$~1~。别忘了来取。
