COL410	我这儿有个买家想要件武器，货已经运到城里了。帮我捎过来吧…
COL411	一拿到家伙，就给我回电话吧，然后…
COL4_01	迪亚兹很满意，他希望和你再次会面。
COL4_02	会是一件好事吗？
COL4_03	当然了。尽管，我开始怀疑迪亚兹是袭击交易的幕后黑手…
COL4_04	此话怎讲？
COL4_05	没人会去指责像迪亚兹那样的人的…我只是随口说说罢了…
COL4_06	没事。我有个让你赚钱的小提议…
COL4_07	我可没空帮你跑腿了，科尔特斯。
COL4_08	像你这样处在危险之中的人，对任何一个赚钱的机会都非常渴望吧。拜托，汤米，至少听我说完吧。
COL4_09	讲吧…
COL4_1	机枪手，怎么了？——不清楚，长官！
COL4_11	把那个螳臂当车的歹徒移开！——明白，长官！
COL4_12	有个屁民想劫我们的铁骑！阻止他！
COL4_13	我们是军队的运输队！假使我们的铁骑继续前进…
COL4_14	士兵，拉下他！
COL4_15	把那个螳臂当车的东西移开！——报告！正在移开车辆，长官！
COL4_17	好的，全军出发！
COL4_18	有人在坦克上，长官！
COL4_19	去买点甜甜圈，士兵！——明白，长官！
COL4_20	目标锁定，长官！
COL4_21	狙击手！
COL4_22	我要离开这儿。
COL4_23	任务完成！全军解散——我们去吃甜甜圈吧。
COL4_24	安全系统启动！车辆自毁系统启动！
COL4_26	受死吧！赤匪！
COL4_3	车队停下！
COL4_4	上来，士兵。——明白，长官！
COL4_6	我们正在遭受攻击！
COL4_7	那个屁民，离坦克远点！
COL4_8	对，说你呢，滚一边去，马上！
COL4_9	坚守阵地！
COL4_B1	~g~把已经运到城里的武器捎过来。
COL4_B2	~r~坦克安全地抵达了目的地！
COL4_B3	~g~在坦克自毁前，把它开到上校的车库里。
COL4_B4	~g~坦克锁住了。得找个办法把司机引出来。
COL4_B5	~r~坦克被摧毁了！
COL4_B6	~g~想方设法把坦克偷走！
COL4_B7	~g~将坦克开进车库。
COL4_B8	~g~从坦克里下来，离开车库。
DETON	自毁进度：
