POR1_01	~g~甜心宝贝是这个角色的最佳人选。
POR1_02	~g~解决经纪人，然后回去接上甜心宝贝。
POR1_04	哟，甜心宝贝。我需要一个天才电影演员，你有兴趣吗？
POR1_05	当然啦！不过，得先和我的经纪人谈谈…
POR1_06	你他妈要干什么？
POR1_07	你就该在家待着。
POR1_08	嘿，梅赛德斯！
POR1_09	嗨，汤米！一起去嗨不？
POR1_10	下次再说吧，宝贝。有兴趣拍电影吗？
POR1_11	当然。只要是低俗小电影我都喜欢。
POR1_12	~g~带上甜心宝贝，去和梅赛德斯见面。
POR1_13	~g~带女孩们回工作室和史蒂夫会面。
POR1_14	嘿嘿，你被录用了！
POR1_15	汤米，来热热身不？
POR1_16	下次可能会来吧，宝贝…
POR1_17	哇，好酷的鲨鱼！
POR1_18	~r~梅赛德斯死了！
POR1_20	汤米，你要去哪儿啊？回来！
POR1_21	你要去哪？
POR1_22	汤米，我们什么时候能来个二人世界？就我们俩。
POR1_23	~g~甜心宝贝正在~h~市中心~g~一带接客。
POR1_24	~g~回去接甜心宝贝。
POR1_25	~g~你把甜心宝贝落在后面了，回去带上她。
POR1_26	~g~甜心宝贝来了。看来，她又和众议院“史拉伯”云雨了一番。
POR1_27	来吧，我们走。
POR1_28	汤米，小心！我可没为我的假胸上保险啊！
POR1_29	这叫开车？
POR1_30	再这样搞下去我连爱爱的力气都没了！
POR1_31	什么啊？你想要谋杀我吗？我可是个明星啊！
POR1_7B	你们信这小子说的话吗？
POR1_A	开拍。
POR1_B	哇喔！真是“大器”！
POR1_C	12英寸（30.48厘米）喔。我可还没硬呢，宝贝。
POR1_D	停！这混账是谁？说的就是你！为什么突然闯进来？！为什么？！
POR1_E	这拍的都是什么玩意儿？
POR1_F	外星人？钓竿？
POR1_G	谁见过这么大的鲨鱼？
POR1_H	赶紧把这些道具搬走！
POR1_I	你是怎么当上导演的？妈的。
POR1_J	啊？
POR1_K	我问你用这些道具干嘛？！这是什么东西？
POR1_L	这可是我的艺术！来人呐！
POR1_M	自大的混蛋，给我听好了。现在我是你的老板，这里的一切都是我的了。
POR1_N	我们要让这里恢复元气…
POR1_O	让你飞黄腾达。
POR1_P	呃。难道说…你就是…就是“汤米·维赛迪”？我还以为…
POR1_Q	是的…
POR1_R	我们要让这里改头换面，然后我们一同飞黄腾达。
POR1_S	不过，你有没有想过，嗯…
POR1_T	不过现在的当务之急是找到一些妹子。
POR1_U	妹子们没问题，不过你的身材…哇喔！
