ICC1_A	你是？
ICC1_B	你的新老板。
ICC1_C	你是熊孩子吧？
ICC1_D	此话怎讲？
ICC1_E	你是熊孩子吗？
ICC1_F	是！冷静！你是不是神经有问题？
ICC1_G	我就知道，你个熊孩子。
ICC1_H	你就是个又脏又臭、又哭又闹、惹人讨厌、流着鼻涕的婴儿！
ICC1_I	婴儿…糟糕、可怕、恶心的熊孩子。
ICC1_J	妈咪可不喜欢你喔，你这个小混账！
ICC1_K	喔！冷静点。
ICC1_L	我讨厌婴儿，讨厌熊孩子。
ICC1_M	他们又脏又臭、又哭又闹…
ICC1_N	说够了没！
ICC1_P	你是做冰淇淋的，OK？做给孩子们吃的啊！
ICC1_Q	你哪根筋出问题了？！
ICC1_R	我算是明白，为什么有些人明明讨厌小孩儿，却还去哄他们开心了。
ICC1_S	喔，你这个又脏又臭、又哭又闹…
ICC1_T	闭嘴！
ICC1_U	…的熊孩子！
ICC1_V	买冰淇淋只是个幌子，
ICC1_W	我们更提供另一种“无脂产品”…
ICC1_X	要是我见着了一个熊孩子，我就要把他调教得乖乖的…
ICC1_Y	是不是啊，熊孩子？“是的，是的。”妈咪才不爱你呢。
ICC1_Z	她讨厌你！
ICC1_ZA	资产已获得！
