ASM4_10	~g~看来并不是只有你一个人在追踪公文包！快把公文包藏进武装国度！
ASM4_12	距离：
ASM4_15	~g~获取狙击步枪。
ASM4_16	~g~观察二楼的女人，她会乘电梯下楼向某人询问时间。
ASM4_17	~g~当他们对话结束的时候，送和她对话的那个人上天，但是别杀了她！
ASM4_18	~g~一旦击杀成功，就迅速抢走手提箱，把它带去市中心的武装国度。
ASM4_19	~g~和目标保持一定距离！利用右上角的距离条把握距离。
ASM4_20	~g~如果距离条满了，目标就会发现你。
ASM4_21	~g~去拿公文包！
ASM4_22	~g~带着手提箱前往市中心的武装国度。
ASM4_23	~g~他发现你了！送他上天，然后拿走他的公文包！
ASM4_25	~r~杀谁不好杀那个女人！你个傻屌！
ASM4_26	~r~目标登机了！
ASM4_27	~r~你被发现了！你应该跟目标保持距离！
ASM4_28	~r~你的枪声被目标听见了！
ASM4_29	~r~手痒痒了？还没到时间！
ASM4_A	干一大票的时间到了，提尔先生。你右边的树丛里有一把狙击枪。
ASM4_B	盯好登机手续台楼上站着的那个女人，她会穿过人群，向某个人询问时间。
ASM4_C	你必须杀掉那个人，抢走他的包，并带着包去电话下面贴着的地点。
