MERC_39	下次再见咯，大佬。
MOB_07A	嘿伙计，要是乐队队员们能有个伴儿就好啦，你懂得…
MOB_07B	我正好认识个妹子。
RBM1_1	~g~前往梅德赛斯的公寓，带上她。
RBM1_10	~r~爱之汁液给你毁了！就你这熊样也想做黑帮老大？
RBM1_12	~g~找到爱之汁液的经销商。
RBM1_13	~g~在乐队彩排前把爱之汁液和梅德赛斯送过去。
RBM1_14	~g~你需要一辆载具！
RBM1_15	~r~跟丢了经销商，报酬和“爱之汁液”都泡汤啦！
RBM1_17	~g~杀死经销商并夺取毒品！
RBM1_7	~r~你没有按时拿到“爱之汁液”！
RBM1_8	~r~梅德赛斯死了！
RBM1_9	~g~搞点“爱之汁液”送给爱之拳乐队！
RBM1_A	就是这样！（歌词）
RBM1_B	太棒啦！天籁啊，妈的天籁啊！
RBM1_C	嘿汤米！你能来真是太好了。
RBM1_D	嘿，你之前和“爱之拳”的成员们见过面么？
RBM1_E	没有。但我蛮喜欢你们的歌的。
RBM1_F	那我跟你介绍一下吧。
RBM1_G	这位是佩尔西…迪克，威利没来…刚刚唱歌的是杰兹。
RBM1_H	兄弟们，来认识一下我的好哥们吧——
RBM1_I	他叫汤米。我俩是好朋友。
RBM1_J	明白了，保罗。
RBM1_K	那个…叫什么我又忘啦…！
RBM1_L	别开玩笑啦，杰兹，
RBM1_M	别在这时候不正经啊。
RBM1_N	我又不是不知道你那套，伙计。
RBM1_O	看到了吧，汤哥，乐队成员们需要我们搭把手…
RBM1_P	他们对这里还比较陌生，后台也不是很硬…
RBM1_Q	来点毒品嗨嗨吧，保罗！
RBM1_R	能嗨到醉生梦死的那种，知道不？
RBM1_S	这里可是罪恶都市。兄弟。需要哪种“货”？
RBM1_T	我们想来点“爱之汁液”！你知道那东西吗？
RBM1_U	爱之汁液！
RBM1_V	“爱之汁液”？
RBM1_W	啊，是由两份易爆烈酒加上一份“水仙花汁”，还有五份“泡泡水”以及一公升的汽油混出来的。
RBM1_X	能帮我们搞到吗，朋友？
RBM1_Y	这东西我们是梦寐以求啊。
RBM1_Z	你能搞来吧？是吧？
ROK1_1A	想买些新颖玩意儿？我这儿应有尽有！
ROK1_2	PINGPINGPENGPENG！
ROK1_3	裁定屌大
ROK1_5	嘿，梅德赛斯！
ROK1_6	你好呀，汤米。近来如何？
ROK1_7	还行啦。你想和“爱之拳”乐队耍耍么？
ROK1_8	好吧，不过你要还我一个人情喔…
ROK1_9	钱我就收下啦，蠢货！
