COL5A_1	形势所迫，我得从这儿撤退了，朋友。
COL5A_2	发生什么事了？
COL5A_3	呃，发生上次那件事之后，法国佬一直想要弄回他们的导弹技术，
COL5A_4	是时候找个更为安全的港口了。
COL5A_5	坐飞机不是更安全吗？
COL5A_6	我还没到机场就会被杀死的，而且，我得把技术带回祖国啊。
COL5A_7	需要帮手吗？
COL5A_8	我的朋友啊，你可以以一抵十呢…
COL5B_1	托马斯，多亏有你保驾护航。
COL5B_2	我们要抵达公海了，得告别了。
COL5B_3	我会把我的私人游艇放下去。收下吧，我的伙伴，这是我表达对你的感谢所赠送的礼物。
COL5B_4	谢谢你，上校。
COL5B_5	我还有个请求。在我回国期间，能不能帮我照看下梅赛德斯？
COL5B_6	我想她会照顾好自己的，不过当然啦，我会照看她的。
COL5B_7	Gracias, amigo. Hasta luego.（太感谢了，朋友。再会了！）
COL5B_8	Adios, amigo.（再会了，朋友。）
COL5_1	左舷！左舷！
COL5_10	我有外交豁免权！
COL5_11	别开枪，我是上校！
COL5_12	托马斯，杀了他们！我的祖国会向你致谢的！
COL5_13	汤米，法国鬼子向我们追来了！
COL5_14	汤米，到处都是鬼子，该死的鬼子！
COL5_15	汤米，你怎么样？
COL5_16	法国鬼子，你妈灵车漂移！
COL5_2	他们往右舷攻过来了！
COL5_3	大桥被封锁了！
COL5_4	他们开着直升机过来了！
COL5_7	别把我当活靶子打了！
COL5_9	汤米，让他们别把我当活靶子！
COL5_B1	~g~不惜一切代价保护科尔特斯上校和他的游艇。
COL5_B2	~g~到前面来为上校杀出一条血路。
COL5_B3	~r~上校挂了！
COL5_B4	~g~把武装直升飞机给打下来！
COL5_B5	~g~干掉直升机，保护游艇。
COL5_B6	~g~你弹尽了，快上楼到顶层补充弹药。
COL5_B7	~g~你粮绝了，快上楼到顶层补充生命。
