BM2_1	混乱程度：
BM2_2	~g~尽可能搞得鸡飞狗跳，向飞车党证明你有多无法无天！
BM2_3	~g~混乱程度增长，系统便会以这种声音作为提示。
BM2_4	~r~跟飞车党相比，你就是个守法良民！
BM2_A	啊，又赢了！
BM2_B	嘿，维赛迪。
BM2_C	美洲狮说你骑得很不错。
BM2_D	嗯。还要我做多少事情你们才会同意？
BM2_E	我可是很忙的。
BM2_F	如果不是需要武力解决的问题，就别叫我了。
BM2_G	要成为我们的一员，只会蛮力可不够。要把自己当做家族的一份子。
BM2_H	是吗，我原来也是家族的一份子，然而这并没有什么卵用。
BM2_I	没错，但我们飞车党家族是有难同当的，
BM2_J	我们可不会派一个兄弟去干脏活，然后让他背十五年的黑锅。
BM2_K	就是这样，该说的都说了。
BM2_L	我们飞车党家族是由那些不合群的家伙和恶棍组成的。
BM2_M	妈的，我们家族中间甚至有人背叛了国家。
BM2_N	越战那十几年，我全在监狱待着…肮脏的江湖…
BM2_O	所以这次我要你去报复社会，
BM2_P	这个国家需要一记当头耳光，我们就是干这一行的。
BM2_Q	到街上搞辆摩托来，给这座城市看看你有多恶心！
BM2_R	好吧，好吧。
