ASSET_A	银行抢劫任务完成！
ASSET_B	~g~马里布俱乐部每日最高盈利$~1~。别忘了来取。
BK4_12A	妈的！门锁是法兰9000型的！
BK4_12B	可能要几个小时才能搞定，
BK4_12C	如果你把经理带过来，那就只要五分钟了。
BK4_14A	菲尔，情况还好吧？
BK4_19A	这是个时间锁，
BK4_19B	你们最好还是放弃吧。
BK4_20A	妈的，我可以跳过这个步骤，
BK4_20B	只要你把密码告诉我，就让你平安！
BK4_23A	给我五分钟！
BK4_24A	我去看看菲尔，马上回来。
BK4_24B	告诉过你了，别碰警报器！
BK4_31A	汤米！锁打开了！
BK4_34A	OK，斯沃特的退休金到手了！赶紧开溜！
BK4_34B	OK，你们自找的！可别后悔！
BK4_35A	他们开始进攻了！
BK4_35B	找掩护！
BM_DEAD	~r~经理死了，你就守在银行一整天等着卡姆开锁吧。
BNK422A	卡姆，要多久？
BNK4_1	我先开车。
BNK4_10	明白，照办！
BNK4_11	来吧，卡姆，金库在楼上。
BNK4_13	我去看看他藏哪儿去了。
BNK4_15	当然。没人敢发声儿。
BNK4_16	你！你跟我过来！
BNK4_17	OK！OK！别开枪就好！
BNK4_18	我说了！别动！
BNK4_2	太好了！不是我开！等等到银行了再换我吧。
BNK4_21	别动。敢动就让你上天。
BNK4_25	斯沃特小队随时可能来袭！
BNK4_27	我在这里守着，汤米！
BNK4_28	我们是罪都斯沃特小队！你们被包围了！
BNK4_29	被包围了？哈哈哈哈…！
BNK4_30	真他妈扯淡，腐败的条子们！
BNK4_3A	嘿，注意车子，汤米！
BNK4_3B	汤米，希拉里太占地方了！
BNK4_3C	没有！
BNK4_3D	就有！
BNK4_3E	嘿，你们两个消停点，不然就下车走过去。
BNK4_3F	好吧。希拉里。
BNK4_3I	拜托，菲尔，别拿着枪乱挥！
BNK4_3J	是啊，你这样会被警察盯上的！
BNK4_3M	车子坏了！坏了！
BNK4_3O	你沉浸在过去的幻觉里无法自拔。
BNK4_3P	什么？
BNK4_3Q	你觉得什么事情都是不变的——
BNK4_3R	青春，爱人，披萨。
BNK4_3S	可这一切都会老去，你必须接受它。
BNK4_3T	有道理。谢谢你，卡姆。
BNK4_3U	不用谢。
BNK4_3V	嘿，汤米，为什么停下来？
BNK4_4A	~w~绕着街区一直开，OK？
BNK4_5	~w~OK，汤米，OK。
BNK4_6	~w~抢劫！
BNK4_7	~w~别动！
BNK4_8	~w~全部靠墙站！
BNK4_9	菲尔，守好前线！
BNK4_94	~w~OK，伙计们。按计划行动。
BNK4_A	~w~正如大家所见，这将是我们干过的最容易的一票。
BNK4_B	~w~汤米，我说真的，你们应该考虑下走法律程序。
BNK4_C	~w~妈的你是在开玩笑吧，老兄？干这一票可不容易啊！
BNK4_D	~w~再说，有谁需要容易的一票呢？
BNK4_E	~w~消灭赤匪，干这一票最容易了！让毛子吃点苦头，嗯？！
BNK4_F	~w~镇静些，行不？有这样的团队，没问题。
BNK4_G	~w~卡姆负责开锁。菲尔，你和我负责守卫。希拉里开车。
BNK4_H	~w~呃，呵呵，大家是不是忘了还有个人？他一直在城内帮助大家…他一直…
BNK4_I	~w~肯…肯…没错，肯待在这里，帮助我们洗钱，顺便喝口小酒。
BNK4_J	~w~我搞不懂我要干嘛。
BNK4_K	~w~听着，很简单的，你看过电影吧？
BNK4_L	~w~我们走进银行，拿着枪走几圈儿，然后就能赚大钱。
C_DEAD	~r~卡姆死了！
C_HIND	~r~卡姆迷路了！
GETCAR	~g~不上车怎么干一大票？
H_DEAD	~r~希拉里死了！
H_HIND	~r~希拉里被落下了！
IDIOT	~r~这波可以。穿着劫匪的衣服到处吸引注意力，你很厉害。
P_DEAD	~r~菲尔死了！
P_HIND	~r~菲尔跟不上了！
TRASHED	~r~现在怎么逃脱啊！
