TEX2_A	汤米，这位是唐纳德·拉夫。唐纳德，这位是汤米·维赛迪，
TEX2_B	汤米是最近才加入我们的帮手。
TEX2_C	好…嗯…
TEX2_D	唐纳德，闭上嘴巴认真听，这样才能提高知识水平。
TEX2_E	如今世道上，没有什么手段能比帮派火并更能降低房价的了，
TEX2_F	除非突发一场大灾难，比如说圣经里的大瘟疫之类的…
TEX2_G	…似乎扯远了。
TEX2_H	人生经验学到了吧，四眼仔？
TEX2_I	前几天海地帮的老大挂了，显然是古巴帮干的好事，可是没人拿得出证据。
TEX2_J	但我们可以伪造事实！你，去把自己伪装成古巴帮的人，
TEX2_K	接着，奇袭海地帮的葬礼。搞点灵车漂移，随后跑路。
TEX2_L	学到了吧，唐纳德？
TEX2_M	这样一来应该就能够搞得鸡飞狗跳了，嗯？
TEX2_N	接着，我们就静静地等着地价暴跌吧。
TEXEXIT	~g~现在，离开小海地！
TEX_2A	~g~棒极了！他们察觉到你了！
TEX_2B	~r~二货！你没露面怎么挑拨离间啊！
TEX_2C	~g~去小瓦哈纳换上一件古巴帮的制服！
TEX_2D	~g~袭击海地帮的葬礼！表演灵车漂移！
