CNT2_01	~g~~y~板材递送员~g~即将乘坐直升飞机到达~r~罪城之港~g~。
CNT2_02	~r~递送员坐着直升机跑了！
CNT2_03	~r~递送员到达了目的地！
CNT2_04	~r~板材也被你毁掉了！
CNT2_05	~g~已夺取板材！速速返回印刷厂！
CNT2_06	~g~已击杀递送员！快把板材抢过来！
CNT2_07	~g~板材被保安夺回去了！别让他跑了！
CNT2_08	~g~~r~递送员~g~就快到了。
CNT2_09	印刷厂资产任务完成
CNT2_10	~g~印刷厂每日最高营业额$~1~。别忘了来取。
CNT2_11	~r~板材掉进大海了！
CNT2_4	这可是我们自家的生意，混小子赶紧滚！
CNT2_B1	好的，今天递送员就会把板材从码头运到城内。
CNT2_B2	我去拦截他们、劫走板材，然后摆脱追兵回到这里。
CNT2_B3	我们的做法将决定成败，
CNT2_B4	在垄断集团发现我们之前，我们只有五分钟的时间来印制假钞，否则就永远没机会了。
CNT2_B5	不管怎么样，我希望回来以后，五分钟之内就能把假钞印出来。明白不？
CNT2_B6	别担心，汤米。我们会准备好的。
CNT2_B7	我和弟兄们在这一带待命，你一声令下我们就出动。
CNT2_B8	就这样，大家都准备好了吗？好的，我去去就回…
