COK2_1	我不明白，你为什么自称“昆廷”？
COK2_13	兰斯·万斯。可怜的混账。
COK2_14	OK，就要到了！
COK2_15	我们一会儿要停下来几次，
COK2_16	能杀多少是多少吧！
COK2_17	随后我就把你放下来，你去夺回钞票！
COK2_2	说不清楚…我比较喜欢…“昆廷·万斯”…
COK2_20	我操！开始交战了！把那些拿枪的全宰了！
COK2_21	我们在这里遇敌了，伙计！
COK2_22	直升机修起来可不便宜啊！快宰了他们！
COK2_23	OK，接下来就要靠你自己了！祝你好运，兄弟！
COK2_24	直升机：
COK2_25	~g~消灭鲨帮的残兵败将，把钱夺回来！
COK2_27	敢在我地盘上撒野？！
COK2_28	你们死定了！
COK2_3	万斯？你全名叫“兰斯·万斯”？
COK2_4	嘿！我在学校里受够这种调侃了！
COK2_5	你试过在飞机上射击吗？
COK2_6	没有。我会在路上练练手的。
COK2_8	我们到底是要去哪里？
COK2_9	去虾岛。
COK2_A	你到底是有多智障啊？！
COK2_B	智障！智障！智障！智障！
COK2_C	汤米！
COK2_D	怎么了，里卡多？
COK2_E	那几个犹太白痴一直在跟老子作对。
COK2_F	这就是生意上的麻烦啊。
COK2_G	你们自以为很屌是吗？！
COK2_H	那几个傻逼可把我害惨了，
COK2_I	过不了多久，连阿猫阿狗都会在我眼皮底子下抢生意了。
COK2_J	再然后呢？连黑手党都要来瞎掺和一脚吗？！
COK2_K	他们根据地的火力很猛，
COK2_L	所以昆廷也来帮忙了！昆廷！昆廷！！
COK2_M	他会带你飞到那里去！
COK2_N	把他们全干掉！
COK2_O	你们自以为很屌是吗？！
COK2_P	你怎么也搅和进来了？
COK2_Q	嘿，我一直在到处调查，很明显…
COK2_R	是迪亚兹毁了交易，杀了我哥。
COK2_S	他会把你也杀了的！
COK2_T	我能解决迪亚兹！
COK2_U	别！先听我说！我可以搞定迪亚兹…
COK2_V	…他已经开始信任我了。
OPEN_B	通向罪恶都市主岛的桥梁已经开放。
