HELP20	地图上的~h~服装标记~w~即为拉斐尔时装店，到那里去换件衣服。
LAW1_10	后会有期，帅哥！
LAW1_11	相信你会的。
LAW1_12	嗯…摩托不错嘛！
LAW1_13	操！我的车子！
LAW1_14	哇喔，你这辆摩托超拉风耶。
LAW1_15	同感，美人儿。我刚从老林摩托店那里买的。
LAW1_2	~g~前往南美上校科尔特斯的游艇那里。
LAW1_3	~g~送南美上校的女儿去极点俱乐部。
LAW1_4	~r~上校的女儿被杀了！你等着小命不保吧！
LAW1_5	你会为我的父亲工作吗？
LAW1_6	或许会吧。
LAW1_7	介意我靠在你的大腿上吗？
LAW1_8	或许会吧…
LAW1_9	有这样一个有权有势的父亲太烦人了。Vamos（快走吧）。
LAW1_A	你还说什么“去睡一会儿吧”…
LAW1_B	我失眠了一整个晚上，关着灯，喝着咖啡，熬到了白天！
LAW1_C	这下可完蛋了！我们都中计了，老兄！
LAW1_D	自由城里的上司们肯定会要了我的命的！操蛋啊！
LAW1_E	我可不是为了要见阎王才去当律师的！现在该怎么办呀？！
LAW1_F	闭上嘴巴，坐下，镇静点。我告诉你解决方法。
LAW1_G	你去查查是谁劫走了我们的可卡因——然后，我去解决他们。
LAW1_H	这主意不错。这主意真不错！让我想想…想想…想想…
LAW1_I	喔！有个南美退伍上校，叫“胡安·加西亚·科尔特斯”。
LAW1_J	是他帮助我搞起事业，
LAW1_K	摆平黑道威胁的。OK？
LAW1_L	听着，他正在海湾边的豪华游艇上开着派对，
LAW1_M	罪恶都市所有的大佬都会参加。OK？
LAW1_N	我有请帖，我自然是有请帖的，
LAW1_O	但是要我赴会，那是门都没有！那种自寻死路的事儿我是绝对不会干的！绝对不会！
LAW1_P	都跟你说了，闭嘴！我自己去就是…
LAW1_Q	哇喔，喔，嘿，虽然我也蛮怀念1978年，但是眼下我们可不是要去酒吧夜店消遣喔。
LAW1_R	就是想告诉你，没别的意思，你这身实在是太俗了。
LAW1_S	我这身太俗了？
LAW1_T	这个拿着。先去一趟拉斐尔时装店，告诉他是我派你来的。他会给你套体面点儿的西服。
LAW1_U	OK，去吧…
LAWP_1	Buenas noches（你好啊）。
LAWP_10	但是这么一件麻烦的事，处理起来需要时间。
LAWP_11	以后再详细谈谈这件事儿吧。
LAWP_12	现在，让我介绍下我的女儿吧。
LAWP_13	梅赛德斯！
LAWP_14	Caramia（孩子），能招待一下这位来宾么，爸爸得去接见重要来宾了。
LAWP_15	没问题，爸爸。
LAWP_16	失礼了。
LAWP_17	你叫梅赛德斯？
LAWP_18	这名字不错吧。
LAWP_19	好了，给你介绍几个大人物吧…
LAWP_2	我知道你是代表罗森伯格先生来的，
LAWP_20	那两位分别位是众议员“艾利克斯·史拉伯”和最近走红的女优“甜心宝贝”。
LAWP_21	还有，你见过我可爱的妻子劳拉了吗？没有？
LAWP_22	啊，可惜她现在正在阿拉巴马州呢。这位是甜心宝贝。
LAWP_23	 然后呢，那边那位是罪城眼镜蛇队的明星边锋，“BJ”——
LAWP_24	到哪儿他都是焦点。
LAWP_25	我把对方球员拦住，接着就送他上轮椅了！
LAWP_26	哈哈，太强了吧！
LAWP_27	那个，我正在寻找几座物有所值的不动产。
LAWP_28	游泳池旁边的那个摇滚小哥名叫“杰兹·特伦特”，
LAWP_29	他是“爱之拳”乐队的主唱。
LAWP_3	希望他近来身体没有问题，或者说，呃，
LAWP_30	跟你们说喔——知道泰国的“鸭鸭”们的水平如何么？
LAWP_31	告诉你们吧，
LAWP_32	一般都是“器小”喔，你知道我说什么的！
LAWP_33	肾虚脸。
LAWP_34	那边聊天的三个，
LAWP_35	躺着的那个胖子是我爸爸的左膀右臂——“冈萨雷斯”。
LAWP_36	剩下两个分别是牧师“理查德斯”，
LAWP_37	以及夜郎自大AV导演“史蒂夫·斯科特”。
LAWP_38	…正当男主准备大干一场时候…
LAWP_39	巨鲨突然出现，随即巨鲨便…
LAWP_4	精神状况安好…贵姓？
LAWP_40	咬掉了他们的鸡巴！
LAWP_41	哈，这样的片子以前都没有见过吧？
LAWP_42	上校！
LAWP_43	派对的势头还是不减当年啊，哈哈哈哈…
LAWP_44	没能及时赶到，不好意思了…
LAWP_45	啊。De nada amigo（没事的，老朋友）。什么风把你吹来了？
LAWP_46	生意有点难做…城外的土鳖们屡屡进犯。
LAWP_47	礼尚往来，这次换你帮我一把吧，老朋友。
LAWP_48	那个大嘴巴是谁？
LAWP_49	“里卡多·迪亚兹”，他是个大毒枭。
LAWP_5	维赛迪。他得了些…陌生环境恐惧症。
LAWP_50	梅赛德斯！
LAWP_51	喔，我要送我的朋友回去啦。
LAWP_52	下次再聊吧，里卡多！
LAWP_53	赶紧走吧！
LAWP_54	送我去极点俱乐部。
LAWP_6	没事就好，没事就好。你是想…？
LAWP_7	我只想要夺回我的货物。
LAWP_8	啊…现在的情况可以说是不容乐观啊…
LAWP_9	当然，我已经派遣眼线去打听了，
