BJM1_1	~g~把卡姆·琼斯从警察局里面救出来！进入警察局时候别带武器！
BJM1_2	~r~卡姆死了，谁来开锁？！
BJM1_20	放下武器，不然后果自负！
BJM1_21	~g~监狱的门卡在警察局二楼。
BJM1_22	~g~带卡姆回家！
BJM1_23	~g~得先拿到门卡！
BJM1_3	~g~更衣室里有套衣服能够派上用场。
BJM1_4	他带着家伙呢！击毙他！
BJM1_5	被授权者方可入内。
BJM1_A	汤米！嘿，汤米！看看这个不错吧！我把这里弄成了一个小型酒吧！
BJM1_B	楼下整个酒吧都是我们的了，肯。
BJM1_C	是啊，是啊，随便啦…那个，你要的黑板我搞来了。
BJM1_D	啊，这就是在法学院念书的好处：懂得按命令办事。
BJM1_E	现在，我需要靠得住的人。
BJM1_F	喔，好的，那个，我想想…靠得住的，靠得住的，靠得住的…想到了！这家伙绝对会让你大吃一惊！
BJM1_G	啊，不行，坏了…他还在里面呢。
BJM1_H	在什么里面？
BJM1_I	在警察局的牢房里等待着转移。
BJM1_J	我看他是时候出狱了…
BNK1_10	对，是我…
BNK1_11	随便你吧。
BNK1_12	刷掉警察，带我回家！
BNK1_13	我要干一件“大事”，我要你帮我开保险柜。
BNK1_14	我真是快把牢底坐穿了！
BNK1_7	是卡姆·琼斯吗？
BNK1_8	我是来救你的。
WANTED1	~g~甩掉警察！
