KPM1_1	~g~兰斯被囚禁在垃圾场了，快杀过去，把他救出来！
KPM1_2	~r~兰斯不仅没能为自己的哥哥报仇血恨，还丢掉了性命。
KPM1_3	兰斯：
KPM1_4	~g~带兰斯去医院！
KPM1_5	~g~迪亚兹的手下一路尾随！快带兰斯去医院！
KPM1_A	那个，老兄，这次我可要救你的小命咯。
KPM1_B	你在说什么鬼话？
KPM1_C	你知道的，迪亚兹，就那个傻逼吹箫佬。
KPM1_D	他把你基友兰斯抓去了。据说你的基友想偷袭他…
KPM1_E	可惜装逼不成反被操，懂我意思吧。
KPM1_F	他们把他带到哪里去了？说清楚点！
KPM1_G	别发飙啊！他被带去城市另一头的垃圾场了。
KPM1_H	该死的…你这个怪人！
M_PASSN	任务通过！
RESC_1	还能用枪吧？
RESC_2	能的…应该吧…见到你真是太好了。
RESC_3	快离开这里。
RESC_4	我的偷袭计划全泡汤了。多谢了，干得真“不错”啊，兰斯！
RESC_5	他杀了我哥哥！你想让我怎么做，帮他修理草坪吗？
RESC_6	我们得在迪亚兹那混账动手之前把他宰了！
RESC_7	准备一下然后我们在海星岛碰头，OK？
RESC_8	OK，到时候见。
