CUB3_01	嘿，里科，船不错啊，准备好了吗？
CUB3_02	~g~宰了船上的海地佬！
CUB3_03	~g~在鲨帮和海地帮的围攻下抢夺公文包！
CUB3_04	~g~把毒品和现金带给翁贝托。
CUB3_05	Si（好了），汤米。今天可要射得准一点！
CUB3_06	我的爱船，身上可不能都是洞啊，OK？
CUB3_07	~g~前去和里科会面，一同前往海地帮的交易地点。
CUB3_08	喔…一队古巴佬。我们遭到突袭了！
CUB3_A	Alberto. Una cafe, senor.（阿尔伯托，一杯咖啡，老伯…）
CUB3_B	Poppa（爸爸），别给这个二五仔咖啡！
CUB3_C	你背信弃义，汤米！
CUB3_D	你不仅背信弃义，还是一条怂狗，混小子！
CUB3_E	那些海地佬…他们取笑老子！
CUB3_F	别激动，别激动。怎么搞的？
CUB3_G	他们取笑老子，汤米！取笑老子——
CUB3_H	“翁贝托·罗比那”！他们为所欲为！
CUB3_I	没人敢为所欲为，翁贝托，他们只敢做你允许的事情。
CUB3_J	什么？
CUB3_K	你想要人帮你搞定吗？
CUB3_L	我能帮你搞定，不过要钱就是了。
CUB3_M	我知道我们是好兄弟，不过这可是生意。
CUB3_N	汤米，你是个真男人！生意人！正人君子！
CUB3_O	那些海地佬，今天要在海边进行交易…是上等的好货。
CUB3_P	把它抢过来，断了他们财路！
CUB3_Q	你行动，我殿后！我们就像是亲兄弟，亲父子一样！
CUB3_R	比起躺在你的腿上撒娇，我更喜欢数钱，amigo（老兄）。
