BUYP1	维赛迪帮实力已壮大！已可购入资产了！
BUYP2	步入绿色房子图标，即可购买资产！
BUYP3	站在图标上按下~h~~k~~PED_ANSWER_PHONE~~w~即可购买。
PRO1_01	~g~在店门口装完逼就跑，那些店家会交保护费的。
PRO1_03	~r~应该装完逼就跑，而不是装完逼喝咖啡。
PRO1_04	我这辈子都完啦！
PRO1_05	完了…毁了！
PRO1_06	我不是交过保护费了吗？！
PRO1_07	我漂亮的柜台呀！
PRO1_08	我的店呀！我的命根子！
PRO1_09	“维赛迪”这名号，给我记牢了！
PRO1_10	现在我才是你们的老大！
PRO1_11	~g~前往位于~y~罪城之角~g~的~y~北角购物中心~g~。
PRO1_12	~g~击碎各家店铺的玻璃，逼迫他们把保护费交给你。
PRO1_13	~g~在五分钟之内击碎所有玻璃。
PRO1_A	重新装修一下吧，装修得更复古一些。
PRO1_B	我实在受不了这内饰啊，汤米。你说我们弄个吧台怎么样…
PRO1_C	罗森伯格，你是帮我打官司的，不是给我搞内饰的。明白么?
PRO1_D	听我说，
PRO1_E	是时候割据一方了。权势可谓是唾手可得。
PRO1_F	我们得扩大自己的势力，
PRO1_G	好让罪城知道，江湖老大已经易主了，懂不？
PRO1_I	你需要一件合法外套，汤米，那就是“资产”。这对你大有裨益。
PRO1_J	我们得树立威信！要不然一切努力都会付诸东流。
PRO1_K	获悉迪亚兹的死讯后，本地商家开始拒缴保护费了！
PRO1_L	喔！我们可以试着给点好处…
PRO1_M	给点好处？给个屁！给你看看我们要如何树立威信！
PRO1_N	我五分钟后就回来…
