GEN3_1	一切尽在掌握之中…
GEN3_10	汤米。
GEN3_11	下回见吧，amigo（老兄）！
GEN3_12	操，兰斯那小子死哪儿去了？
GEN3_14	汤米！我这里需要支援！
GEN3_15	别担心，我来掩护你！
GEN3_16	迪亚兹的人撑不住了！
GEN3_18	~g~古巴帮的交易人来了。可别让迪亚兹和兰斯出意外！
GEN3_19	~g~海地帮来搅局了！保护迪亚兹！
GEN3_2	听着，你能不能别像跟屁虫一样，天天跟着我？！有能耐的话，干嘛不一个人干？！
GEN3_20	~g~科尔特斯上校在多层停车场那边准备了家伙。
GEN3_22	迪亚兹：
GEN3_23	~g~怎么把兰斯给落下了？快回去带上他。
GEN3_25	~r~兰斯挂了！
GEN3_28	~g~把公文包还给迪亚兹。
GEN3_29	~g~捡起公文包，还给迪亚兹。
GEN3_3	我可能会这么做吧。顺带一提，我叫兰斯。
GEN3_30	~r~公文包被抢走了！迪亚兹肯定会把你的蛋蛋给切下来的！
GEN3_33	~r~长点儿眼睛！别误伤了迪亚兹的人！
GEN3_34	~r~古巴帮的小弟被攻击了！交易取消！
GEN3_35	~g~那小子装完逼就带着钱跑了！
GEN3_36	~g~搞辆摩托来，把那小子给宰了！夺回迪亚兹的钱！
GEN3_37	~g~古巴帮的交易人来了。
GEN3_38	~r~迪亚兹死了！蛋蛋都被打掉了！
GEN3_39	~g~到楼上去保护迪亚兹。
GEN3_40	按~h~~k~~PED_FIREWEAPON~~w~向前射击。
GEN3_41	按~h~~k~~PED_FIREWEAPON~~w~向前射击。
GEN3_44	~g~跟随兰斯前往交易地点，保护迪亚兹。
GEN3_45	交易人随时可能到，我们最好找一个视野好的平台守着。
GEN3_46	妈的！
GEN3_47	汤米！
GEN3_48	该死！
GEN3_49	兰斯：
GEN3_5	你就是科尔特斯的新手下了吧。
GEN3_50	~r~桑尼的钱你也丢了，迪亚兹的钱你也丢了，你简直是钱的克星嘛！
GEN3_51	海地帮的增援开着车来了！
GEN3_52	海地佬还想动我“里卡多·迪亚兹”一根毫毛？！
GEN3_53	老子的钱啊！
GEN3_54	傻站着干嘛！智障！赶紧去追海地佬！
GEN3_55	汤米！我在这里保护迪亚兹！
GEN3_56	~r~迪亚兹被打死了！蛋蛋都被打掉了！
GEN3_57	“克鲁格”步枪是M14步枪的改版。持有步枪时可以使用第一人称瞄准。
GEN3_58	按住~h~~k~~PED_LOCK_TARGET~~w~不放，使用步枪~h~瞄准~w~。
GEN3_59	按住~h~~k~~PED_LOCK_TARGET~~w~不放，使用步枪~h~瞄准~w~。
GEN3_6	谁给我机会，我跟谁干。
GEN3_60	按~h~~k~~PED_FIREWEAPON~~w~使用~h~步枪~w~开火。
GEN3_61	按~h~~k~~PED_FIREWEAPON~~w~使用~h~步枪~w~开火。
GEN3_62	按~h~~k~~PED_FIREWEAPON~~w~使用~h~步枪~w~开火。
GEN3_63	驾驶~h~摩托车~w~时，可以~h~向前射击~w~以及~h~左右射击~w~。
GEN3_64	按~h~~k~~PED_FIREWEAPON~~w~向前射击。
GEN3_65	按~h~~k~~PED_FIREWEAPON~~w~向前射击。
GEN3_66	按~h~~k~~PED_FIREWEAPON~~w~向前射击。
GEN3_67	想要在摩托车上射击，前提是拥有一把冲锋枪。
GEN3_7	他们随时可能到，我们最好找一个视野好的平台守着。
GEN3_8	OK！我在阳台上守着，你去对面的楼顶上。
GEN3_9	老子没死！妈的好险！真是多亏了你！你叫什么？！
GEN3_A	托马斯（汤米全称），你能来真是太好了。
GEN3_B	请原谅我直奔主题吧。
GEN3_C	迪亚兹拜托我监管一笔交易。
GEN3_D	“希望比上次更有保障”？
GEN3_E	因此我认为你是不二人选，朋友。
GEN3_F	我在多层停车场准备了些家伙。
GEN3_G	把它带上，去交易地点保护迪亚兹的人吧。
GEN3_H	Gracias, amigo（谢谢你了，朋友。）
