CUB4_02	~g~炸弹安放后，会在45秒后爆炸。
CUB4_03	~g~在潜入过程中不要下车。
CUB4_04	~r~被发觉了！没办法潜入了！
CUB4_06	~r~你没能及时撤离，定时器被迫终止了。
CUB4_07	喔，工厂就在后面了，amigo（兄弟）。
CUB4_08	Hola, amigos.（你们好啊，弟兄们。）
CUB4_09	Bueno. Haitiano Putas. Muerte!（你们好啊。海地混账。去死吧！）
CUB4_10	Vamos!（加油！）
CUB4_11	Vamos indeed!（加油加油！）
CUB4_12	嘿，我们需要一辆海地帮的帮车！
CUB4_13	好的，去和muchachos（弟兄们）见面吧！
CUB4_14	跟着我的弟兄们。
CUB4_15	OK，进去吧…
CUB4_16	我要去安炸弹了，掩护我！
CUB4_17	快跑！
CUB4_18	兄弟，这块地儿真不错啊…
CUB4_19	这块地儿就是垃圾场，老兄。
CUB4_20	我有个漂亮的女友，她就住在这一带。
CUB4_21	知道吗，这一带的披萨很好吃。
CUB4_22	哇喔，老兄，你开车跟个疯婆娘似的。
CUB4_23	你迷路了吗，兄弟？
CUB4_24	你把佩佩给落下了，快回去带上他。
CUB4_26	~g~带上佩佩，抢一辆海地帮的帮车“Voodoo”来。
CUB4_27	~g~前去和里科他们会面。
CUB4_28	~g~在海地帮的制毒工厂内和队友汇合。
CUB4_29	~g~步入光圈即可安装炸弹，一共三个。
CUB4_30	~g~炸弹安放完毕后就迅速撤离！
CUB4_31	~g~快远离工厂！
CUB4_32	~g~把车子停到光圈内，然后下车。
CUB4_A	嘿，小妞们，知道老子要干嘛么？
CUB4_B	老子要宰了一个海地佬，然后！
CUB4_C	然后像个男人一样跟他做爱！
CUB4_D	懂吗，chica（小妞）。就像这样！
CUB4_E	屌丝！
CUB4_F	智障。
CUB4_G	嘿，宝贝儿，老子可不屑用金箍棒对付你们！
CUB4_H	翁贝托·罗比那，他喜欢娘们儿！不喜欢骚娘们儿！
CUB4_I	汤米！汤米！我爱你！我爱你！出发吧！
CUB4_J	去哪儿？就不能先喝杯咖啡吗？
CUB4_K	没时间喝咖啡了！再说，老子刚刚喝过了！
CUB4_L	我们准备击溃海地佬了！
CUB4_M	汤米，怎样对付一只毒蛇？
CUB4_N	当然是肛它菊花！哈哈哈！
CUB4_O	你开心就好，翁贝托。
CUB4_P	汤米，你去搞辆海地帮的车子来！
CUB4_Q	搞到以后，回来带上老子的小弟——
CUB4_R	佩佩。接着带他去海地帮那里。
CUB4_S	然后，你们杀入海地帮的工厂，把他们的毒品当做炸药来用！
CUB4_T	蹦！再见啦！
CUB4_U	翁贝托，你不去吗？
CUB4_V	呃…老子在后方坐阵，和爸爸一起照看咖啡店。
CUB4_W	他…最近不太舒服，你知道吧？
