CUB2_01	没位置啊，老兄，搞辆大点儿的车来！
CUB2_02	我们需要咖啡馆那儿的支援！
CUB2_03	~g~找一辆四座载具，带上古巴帮三人组！
CUB2_04	~g~把古巴帮的小弟带到战斗地点。
CUB2_05	宰了那个怂狗狙击手！
CUB2_07	他们跟娘们儿似的！找掩护！
CUB2_09	楼上有狙击手！
CUB2_11	~r~你怎么把车子给毁了？！你根本不是大屌猛男！
CUB2_12	嘿，amigo（老兄）！见到你真好！
CUB2_13	这就是海地帮的老巢了，我们要把他们全宰了！
CUB2_14	冲啊！！！！！
CUB2_15	就是现在！弟兄们！冲啊！！！！！
CUB2_16	汤米，我们证明了我们男人的勇气！
CUB2_17	我们得抢走他们的运毒车！小心地撤退！
CUB2_18	~g~找一辆四座载具，带上古巴帮三人组！
CUB2_19	像个男人一样战斗！
CUB2_21	像大屌猛男一样战斗！
CUB2_22	~g~解决剩下的海地佬，给古巴帮的人杀出一条血路！
CUB2_23	~g~小海地是海地帮的老巢！可得留心！
CUB2_24	~g~驾驶运毒车，返回翁贝托那里！
CUB2_25	海地帮的帮员，见一个杀一个！
CUB2_A	Un cafecito, por favor, Alberto…（一杯咖啡，老样子，阿尔伯托…）
CUB2_B	Papi! Una grande problema!（爸爸！出大事了！）
CUB2_C	那些海地佬！老子恨死那些海地佬了！
CUB2_D	他们又来招惹老子！
CUB2_E	那些海…海地佬！我们非把他们杀光不可！
CUB2_F	我们还需要一些支援！
CUB2_G	老子在前线已经损失好几个hermanos（弟兄）了！
CUB2_H	Amigo（老兄），你很会开车！
CUB2_I	开得很“娘们儿”，是吧？
CUB2_J	没时间开玩笑了！
CUB2_K	来吧，再帮老子个忙！
CUB2_L	把弟兄们送过去，把那些海地佬全给宰了！
CUB2_M	他们可惹毛老子了——惹毛了本地最厉害的杠把子了！
CUB2_N	No problema, Tommy.（没问题，汤米。）
CUB2_O	翁贝托，儿子，怎么了？
