POR4_01	~g~前往~y~市中心~g~，到房顶上对聚光灯做些手脚。
POR4_02	~g~你需要一辆摩托。大部分安保人员都推荐~y~PCJ 600~g~这款摩托。
POR4_03	~g~乘坐电梯前往大厦高层。
POR4_05	~g~此楼梯直达位于楼底的办公楼。
POR4_06	~g~如果失败，可从办公楼处重新开始。
POR4_07	~g~你需要一辆摩托车让你在建筑物之间穿梭。
POR4_08	~g~撞碎玻璃便可开始任务。在07：00之前调整好聚光灯！
POR4_09	~g~光圈会告诉你该跳向哪栋建筑。
POR4_10	~r~旭日初升，已经无法调整聚光灯了。
POR4_11	~g~可从本处重新开始。
POR4_A	抱歉，我真的吞不下去啊…
POR4_B	加把劲儿，亲爱的！
POR4_C	难得男优的状态这么好啊。
POR4_D	你怎么就没办法进入角色呢？
POR4_E	可是，史叔叔…
POR4_F	怎么样？我的明星导演？
POR4_G	噢，老兄。艺术的完整性和啪啪啪
POR4_H	之间的矛盾真是不可调和啊。
POR4_I	只要你一声令下，四部作品就会全部发布，还带着…
POR4_J	宝贝儿，把你的“家伙”对着镜头不行么？
POR4_K	男优的薪水可比你高啊！
POR4_L	喔，抱歉，史蒂夫。
POR4_M	我在想着，得搞个大新闻来炒作一下我们的小电影。
POR4_N	搞个全城皆知的大新闻，你有主意么？
POR4_O	过去呢一般是举办盛大的晚会，
POR4_P	明星，豪车，探照灯让这里就像座不夜城…
POR4_Q	探照灯！我有个主意…
POR4_R	…对对对。锦罗玉衣，香车美女，豪华首映…
POR4_S	噢，就是这样，就是这样…
POR4_T	报社的记者…闪光灯好像是蜂拥而至的浪潮…
POR_AS1	电影厂资产任务完成
POR_AS2	~g~环球电影厂将会定期盈利 $~1~。别忘了来取。
