BLIPHLP	地图上的正三角符号表示目的地在你上方。
COL2_1	雨啊，这是她一年中最润泽的时候…（法国腔）
COL2_2	什么？
COL2_3	啊，对暗号啊？
COL2_4	听着，科尔特斯派我来的。把芯片给我就是。
COL2_5	Oh...d'accord.（喔…好吧。）
COL2_6A	别动，美帝国主义走狗！此乃我大法兰西共和国的财产！别妄想了！（法国腔）
COL2_A	汤米！过来，到我这儿来。
COL2_B	看起来很美味吧，嗯？想吃吃南美貘的头吗？
COL2_B1	~g~在商场内和线人碰头。
COL2_B2	~g~线人带着导航芯片跑了！宰了他！
COL2_B3	~g~把导航芯片交给科尔特斯。
COL2_C	呃…不用，不用，不用，谢谢了。
COL2_D	汤米，你就像潘帕斯草原上的清风，让我从恶臭的堕落之中解脱。
COL2_E	尽管我只能叹息它的匆匆而过，返回尘世的事务中…
COL2_F	这跟调查钱的下落有什么关系吗…
COL2_F1	~r~怎么这么早就把线人给杀了！
COL2_F2	~g~线人已解决！快把导航芯片抢走。
COL2_F3	~r~去海里面找吧。前提是汤米会游泳。
COL2_F4	~r~线人跑了！没能把芯片给科尔特斯！
COL2_G	汤米，我的朋友，你现在已经不是在自由城了。我们这里的江湖规矩可不一样。
COL2_H	我会继续调查的，不过，我手头上有一桩有价值的生意…
COL2_I	要我“帮朋友个忙”是吧，科尔特斯？
COL2_J	你很通情达理！汤米。我就知道你不会让我失望！
COL2_K	我要你去和一个线人会面，他手上有我想要的技术…
