CUB1_01	嘿，我是里科。你就是那个“大屌猛男”吗？
CUB1_02	OK，兄弟。要像对待娘们儿一样对待它喔！
CUB1_03	不错啊，你是纯爷们儿啊！
CUB1_04	 你真是个大屌猛男啊，amigo（老兄）。
CUB1_05	Amigo（老兄），你真是纯爷们儿啊！爷们儿！
CUB1_06	你还是男人吗，老兄？
CUB1_07	你就是个小屌怂男！小子，回家找你妈妈去吧！
CUB1_08	你活着就是浪费土地！走路说话像是猛男，开起船来却像条怂狗！
CUB1_09	老兄，你真是个纯爷们儿！我喜欢你！爱死你了！
CUB1_10	爱你死了，老兄。因为你是个大屌猛男！我的朋友都是大屌猛男！
CUB1_11	~r~里科死了！你根本不是大屌猛男！
CUB1_12	触碰第一个检查点即可开始任务。
CUB1_13	~g~在三分钟之内完成赛道！
CUB1_14	快回船里来！
CUB1_15	~r~开太慢了！古巴帮的人觉得你的“小伙伴”一定很小！
CUB1_A	Si, men？（嘿，老兄？）
CUB1_B	嘿，别紧张，老爸。这是我找来的人。你，就是你吧？
CUB1_C	喔耶，我看，就是你了。懂？
CUB1_D	不，我可不觉得。
CUB1_E	是吗？过来，小子。
CUB1_F	你觉得你能够肛得过老子么？
CUB1_G	能够装疯卖傻地骗过老子么？
CUB1_H	不，我觉得你把我们两个都搞得够傻的。
CUB1_I	嘿，儿子，他骂你傻逼呢。
CUB1_J	那老子就要骂他是娘炮，爸爸！
CUB1_K	看看他，穿得人模狗样的。
CUB1_L	穿着什么呢？娘们儿的骚衣服么？
CUB1_M	你小子不是个硬汉么，怎么穿得跟娘们儿似的？
CUB1_N	内裤也穿得跟娘们儿一样吧，嗯？
CUB1_O	你怎么这么不喜欢异性？你是基佬么，老兄？
CUB1_P	老子喜欢娘们儿！喜欢所有娘们儿！我爱我妈妈，chico（小子）！
CUB1_Q	好的，好的，我明白了。别激动。
CUB1_R	你会开船么，amigo（朋友）？
CUB1_S	会…跟个娘们儿似的。
CUB1_T	有意思！老子喜欢你，兄弟！看来你能帮老子个忙，
CUB1_U	看来你能够证明自己是个男人，嗯？
CUB1_V	坐上船去。
CUB1_W	证明你是个“大屌猛男”，（西班牙语）
CUB1_X	而不是个“小屌怂男”！（西班牙语）
