ACCURA	命中率
ADMIRAL	Admiral
AMBULAN	Ambulance
AMBUL_M	救护任务
AMMU	进入武装国度购买武器。
AMMUHLP	~h~武装国度~w~是购买武器的不二场所。 它在雷达上以~h~枪械标志~w~显示。
ANGEL	Angel
ANSWER	按~h~~k~~PED_ANSWER_PHONE~~w~接听电话。
APACHE	武装直升机现已送达大洋海滩的停机坪。
APR	Apr
ARMOUR	防弹衣
ASM	ASSASSIN MISSIONS
ASM1_1	~g~提尔先生，上一次你扫除外地佬，帮了我大忙。如今我有更多事情拜托你了。目标信息就贴在电话下面。
ASM1_2	~g~电话在华盛顿海滩的商场外。
ASM1_3	~g~目标：送披萨的小哥卡尔·皮尔森。在他完成宅急送之前做掉他。
ASM1_4	~g~在那个外卖小哥完成宅急送之前做掉他。
ASM1_B	目标信息就贴在电话下面。
ASM1_C	如今我有更多事情拜托你“亲手解决”了。
ASM3_1	~g~布莱克先生预留了一些武器给你。
ASM3_10	~r~没能把他们全部解决。
ASM3_2	~g~不要太接近！目标会发现你的！
ASM3_3	~g~找一个隐没而视野恰好的位置，击杀目标。
ASM3_4	~g~他发现你了！不择手段消灭他！
ASM3_5	~g~目标：马库斯·哈蒙德。他在华盛顿海滩的广告牌上干活。（5到9应该是废弃文本）
ASM3_6	~g~目标：佛朗哥·卡特。他为DBP安保公司工作，工作地点在大洋海滩地区。
ASM3_7	~g~目标：迪克·坦纳。他在罪城之角的珠宝店附近。
ASM3_8	~g~目标：尼克·卡恩。他在华盛顿海滩处。
ASM3_9	~g~目标：特技驾驶员。他位于华盛顿海滩那里。
ASM3_A	TEXT NO LONGER NEEDED
ASM3_B	TEXT NO LONGER NEEDED
ASM4_1	~g~狙击枪已为你特意准备。到机场候机楼内的盆景旁拿取装备。
ASM4_11	~r~目标发现你了！交易取消！
ASM4_13	~g~他发现你了！杀死他，夺取公文包！
ASM4_14	~g~右上角是距离显示条。不要让它满格，否则你会被发现。
ASM4_2	~g~眼睛别从目标身上移开！否则保镖很可能发现你。同时，保持距离，让他无法发现你。
ASM4_24	距离：
ASM4_3	~g~监视登机手续办理台上方二楼的女子。别失手把她杀了。
ASM4_4	~g~在公文包转接后杀死那个男子。然后夺取公文包，将其藏入市中心的武装国度中。
ASM4_5	~g~夺取公文包！
ASM4_6	~g~带着公文包前往市中心的武装国度。
ASM4_7	~r~杀谁不好杀那个女人！你个傻屌！
ASM4_8	~r~目标听见枪声，起疑了！交易取消！
ASM4_9	~r~目标已登机！
ASM_1	ASSASSIN MISSION 1
ASM_2	ASSASSIN MISSION 2
ASM_3	ASSASSIN MISSION 3
ASM_4	ASSASSIN MISSION 4
ASM_5	ASSASSIN MISSION 5
ASS1_10	嘿，这里的庭院够正点。
ASS1_11	嘿，汤米，到时候能不能给我留间海景房？
ASS1_12	天花板超好看…
ASS1_3	兰斯！掩护我！
ASS1_4	迪亚兹必定在里面！
ASS1_5	兰斯！
ASS1_6	汤米你先走！我没事的！
ASS1_7	血债血还吧，杀人犯！
ASS1_8	我被压制了！
ASS1_9	我来掩护你，汤米！
ASSET_C	极点俱乐部的资产任务完成！
ASSET_D	~g~极点俱乐部每日最高营业额$~1~，别忘了来取。
ASS_1	强闯枭巢
ATUTOR	按~h~~k~~TOGGLE_SUBMISSIONS~~w~开始救护任务。
ATUTOR3	按~h~~k~~TOGGLE_SUBMISSIONS~~w~开始救护任务。
AUG	Aug
AUTOSAV 游戏已自动保存
AVERY	AVERY MISSIONS
A_PORT	埃斯科瓦尔国际机场
A_TIME	+~1~秒
BAGGAGE	Baggage Handler
BANK	BANKJOB MISSIONS
BANK1	BANKJOB MISSION 1
