DILDO	油量：
POR2_01	~g~在电影厂后院有一架在老电影里做道具的水上飞机。
POR2_02	~g~通过任意一个检查点，便将开始发放宣传单。
POR2_03	~g~在通过最后一个检查点之前，宣传单会一直发放。
POR2_04	~r~低油量！
POR2_05	~g~用它来在城市各处发放宣传单。
POR2_A	电影怎么样了，史蒂夫？
POR2_B	甜心宝贝生来就是干这行的！那个新来的女孩，相当生猛啊！
POR2_C	一眨眼的功夫，她就被大多数演员和工作人员认可了！
POR2_D	话说回来，明天我们得找个地方“船戏”。
POR2_E	“船戏”？什么是“船戏”？
POR2_F	剧本是：巨鲨突然来袭，渔民们吓得逼都要裂了…
POR2_G	不记得我说的话了吗？
POR2_H	我说“别拍大鲨鱼了”，行不？
POR2_I	只要专心拍好那些“床戏”就行了！
POR2_J	好的，好的，嘿汤米，总得有人试试看吧，对吧？
POR2_K	那些宣传单印好了吗？
POR2_L	印好了。不过，没人会允许我们发这些东西的。
POR2_M	他们实在是…呃…“心之固，固不可彻”。
POR2_N	不需要操心。
POR2_O	我自有办法。
POR2_P	OK，嘿，甜心宝贝，呃…到我车里来一下。
POR2_Q	喔，老兄…
PORN2_9	~g~在任务结束之前，你还有~1~秒的时间来回到飞机上。
