HAM1_1	~g~警察正在靠近我们的货物，快点，在他们之前赶到！
HAM1_2	~r~货物被警察没收了！
HAM1_3	~g~把这些货物带回藏匿点！
HAM1_4	~g~很好！现在去取下一个！
HAM1_6	~r~货物被毁了，你个笨蛋！
HAM1_7	~g~警察没收了我们的货物！在他们离开之前取回来！
HAM1_8	~g~城管正在带走货物的路上，快去！
HAM1_A	有人吗？有人吗？
HAM1_B	进来吧，亲爱的，放空灵魂。
HAM1_C	你一定就是我祖父预言中的那个恶棍了。
HAM1_D	跟我说说你的故事吧，他何时召唤了你，
HAM1_E	而又有谁，在未来等着你呢…
HAM1_F	我们已经麻木了很久，
HAM1_G	我可不想错过你这块肥肉喔，哈哈哈哈哈！
HAM1_H	我被某种力量指引到这来…
HAM1_I	能聆听到它们吗？
HAM1_J	它们在呼唤你，孩子，现在已经灵魂出窍了吧，对不对？
HAM1_K	现在帮波利特大婶个忙吧，
HAM1_L	说不定在你完成后，她会给你一个小小的护身符呢。
HAM1_M	用魔法让你在警察眼皮子底下逃走，哼哼？
HAM1_N	这里给我一种感觉，一种非常…
HAM1_O	我…我…我想我是走错门了…
HAM1_P	帮大婶个忙吧，汤米…
HAM1_Q	那些古巴佬啊，下流放荡的家伙。嗯…
HAM1_R	一直向我可爱的海地孩子们提供毒品。
HAM1_S	还向警察们告发出了我的货物囤积处。
HAM1_T	警察还以为是毒品呢，无知啊。
HAM1_U	做个听话的孩子吧，汤米，把那些货物给波利特大婶带回来把。
HAM1_V	嗯，嗯，当然，当然。
HAT_1A	~g~别动，嫌犯！
