RBM3_1	~g~开车载爱之拳到演出地点去。
RBM3_2	如果试图离开车辆的话，炸弹便会爆炸。
RBM3_3	如果进度条充满，炸弹便会爆炸。
RBM3_4	~r~当爱已成往事…
RBM3_6	爆炸限值：
RBM3_7	~g~炸弹拆除！
RBM3_8	加速驾驶的话，进度条便会下降。
RBM3_9	如果停车或者减速的话，进度条便会充满。
RBM3_A	汤米！汤米！汤米小哥！那个黑粉卷土重来了！
RBM3_B	什么情况？
RBM3_C	那个黑粉誓不罢休啊！
RBM3_D	他上次大难不死！回来报仇了！
RBM3_E	没错！目前情况是…
RBM3_F	情况是…我们需要一位靠得住的司机，
RBM3_G	那个疯子不断地在威胁我们！
RBM3_H	我都吓尿了...我想妈妈！
RBM3_I	我们是在作茧自缚啊，兄弟。
RBM3_J	好吧，伙计们，淡定，我会处理好的。
RBM3_K	通常情况下我是不会跟一群醉酒的苏格兰双性恋大汉搞在同一辆车里的，
RBM3_L	但是，这次例外。
ROK3_1	终于能松一口气，喝点小酒了！演出场所就在百米开外了。
ROK3_10	伏特加瓶子上包着线呢！不是伏特加！是易爆烈酒！
ROK3_11	哇啊啊啊啊啊！是引爆线啊！啊啊啊啊啊！
ROK3_12	怪不得大家都劝我戒酒！我在警匪片里面学过拆弹！剪断一根线就成！哪一根？我也不知道啊！
ROK3_13	毫无头绪！威利，悼念下兄弟们吧。我要给阎王表演重低音了。
ROK3_14	汤米，保持全速！谁来想个法子啊！唉，机灵鬼们！
ROK3_15	“谁来想个法子”？简直是废话，怂狗。OK，你小子想个法子吧。
ROK3_16	兄弟，我是搞音乐的，不是搞炸弹的。更不要说只会喝酒的威利了。
ROK3_17	是啊，这种事你确实在行些。我看真的要螺旋爆炸了，你懂得！
ROK3_18	让威利来拆好了！拔电线？！爱之拳无所畏惧！
ROK3_19	我要拔哪一根？汤米。你说要拔哪根？要拔绿色的。没有绿色的电线呀。
ROK3_2	得好好庆祝一番！嘿汤米，换个电台吧。
ROK3_20	你说这根么？你是不是看什么都是绿的？
ROK3_21	噢不！要完了！真的啥都是绿的！真想把你打得满地找牙，可惜现在没机会。
ROK3_22	啥都不懂的废柴，傻有钱的白痴。白养你这么多年了。闭嘴，你个弱智.
ROK3_23	你个胆小如鼠的娘娘腔。闭上嘴巴专心拔电线！你说哪条？这条…
ROK3_24	不！伙计，我们都还健在。没被炸飞呢，兄弟！
ROK3_25	汤哥，干的漂亮！嗨起来，兄弟们！是不是忘了还有场演唱会啦？！
ROK3_26	去舞台上嗨？和女歌迷们爱爱？爱之拳万岁！
ROK3_27	那瓶易爆烈酒你喝完了没？
ROK3_3	没搞错吧…这是啥玩意儿？嘿汤米，把这盘磁带放进去听听。
ROK3_4	“爱之拳”乐队，是时候终结你们的声污染了！现在后悔已经太迟了…
ROK3_5	现在，阴阳两隔吧！只要一减速，这辆破车和你们的毛尻都会被一块儿炸上天！
ROK3_6	汤米小哥，救救我们吧！我不想再这样下去了！把油门踩到底吧！
ROK3_62	带你看看我们的摇滚神殿吧！
ROK3_63	感受一下爱之拳的狂热！
ROK3_64	仔细听听吧，伙计。这张磁盘不错吧。
ROK3_65	对于歌迷们来说，这里便是神殿，而我们，便是祭司！
ROK3_66	是啊，如果歌迷们都是真心喜欢着我们，
ROK3_67	我还有什么可怨的呢？
ROK3_68	天哪，磁带又被卡住了。
ROK3_69	再这样下去，演唱会怎么办呀！
ROK3_7	得先找到炸弹！不过开一整天也可以嘛，车上酒水还挺足...
ROK3_70	噢我靠！肚子疼...
ROK3_71	我们得走了，再次由衷地感谢你啊！汤米！遇见你真是三生有幸！再见了！
ROK3_73	杰兹在播放磁带了，
ROK3_8	炸弹会不会藏在引擎里啊？这样的话岂不是没辙了！我真的要疯啦…！
ROK3_9	嘿，这里有箱酒！炸弹总不可能在酒箱里吧！赶紧拿走！
