POR3_01	~g~跟踪甜心宝贝所乘坐的~h~礼车~g~。
POR3_02	~r~你杀死了议员！没法敲诈他了！
POR3_03	~r~你惊动了安保人员，他被带离到安全地域了！
POR3_04	啊，甜心宝贝，这次叫我“玛莎”好么？
POR3_05	噢，艾利克斯…我是说，“玛莎”。你开心就好。
POR3_06	玛莎，有变态狂在偷窥我们，好恶心喔。
POR3_07	喂！快把相机给我！
POR3_08	按住~h~~k~~PED_LOCK_TARGET~~w~~h~使用相机~w~。
POR3_09	按住~h~~k~~PED_LOCK_TARGET~~w~~h~使用相机~w~。
POR3_10	按~h~~k~~PED_SNIPER_ZOOM_IN~~w~~h~放大~w~。按~h~~k~~PED_SNIPER_ZOOM_OUT~~w~~h~缩小~w~。
POR3_11	按~h~~k~~PED_SNIPER_ZOOM_IN~~w~~h~放大~w~。按~h~~k~~PED_SNIPER_ZOOM_OUT~~w~~h~缩小~w~。
POR3_12	按~h~~k~~PED_FIREWEAPON~~w~照相。
POR3_13	按~h~~k~~PED_FIREWEAPON~~w~照相。
POR3_14	按~h~~k~~PED_FIREWEAPON~~w~照相。
POR3_15	~r~你摧毁了甜心宝贝的礼车！
POR3_16	~g~拍摄三张艾利克斯·史拉伯跟甜心宝贝在一起的照片！
POR3_17	~g~回到电影拍摄厂。
POR3_19	~r~你离开了电影厂！
POR3_20	~g~如果你需要交通工具，可搭乘后院的~h~Sparrow~g~直升机。
POR3_21	~g~你跟丢了甜心宝贝所乘坐的礼车！
POR3_22	~g~天台对面的“WK双轮战车”酒店是拍照的理想地点。
POR3_23	~g~从酒店的侧门进入。
POR3_24	拍摄数：
POR3_A	OK，现在还剩下什么事么？
POR3_B	嘘…
POR3_C	接下来便是——在男主偶遇疯狂饥渴的女主之后，
POR3_D	男主发觉自己也进入痴汉状态…只能用下半身思考…
POR3_E	在荧幕前边吃土豆泥边看这种大片肯定爽翻天，不过呢我们要…
POR3_F	我说的不是这种“事”！
POR3_G	你…你继续。
POR3_H	嘿，汤米...
POR3_I	上次在电话里谈到了“法律问题”，对不？
POR3_J	议员“艾利克斯·史拉伯”为了获得清教徒的支持，在选举前大肆抨击我们。
POR3_K	有小道消息称，他将会支持影片分级的法案，
POR3_L	矛头直指我国娱乐产业的“最鲜活地域”。
POR3_M	操。
POR3_N	甜心宝贝！你和史拉伯熟，
POR3_O	他会不会和你做一些变态的事情？
POR3_P	（似答非答的呻吟声）
POR3_Q	这段拍下来没？
POR3_R	她这意思是…呃…她在和谁说话…？
POR3_S	我也搞不懂…怎么说呢…
POR3_T	拍完以后你偷偷跟着她就是了，
POR3_U	看看她会不会带你去她的“新爱巢”。
POR3_V	相机有不？
POR3_X	有。相机拿来。
