TEX3_1	~g~操控遥控直升机，将炸弹运送到四个爆破点上。
TEX3_10	~g~把炸弹安放在目标处。
TEX3_11	剩余目标数：
TEX3_12	~g~炸弹已安放！只剩下三枚炸弹未安放了！回去拾起其他炸弹。
TEX3_13	~g~炸弹已安放！只剩下两枚炸弹未安放了！回去拾起其他炸弹。
TEX3_14	~g~炸弹已安放！回去拾起最后一枚炸弹吧！
TEX3_15	~r~爆炸倒计时开始！~g~尽快把四枚~w~定时炸弹~g~在有限的时间内安装好！
TEX3_16	~g~前往新写字楼对面的空地。坐上用来操控遥控直升机的~w~面包车~g~。
TEX3_17	~r~时间耗尽。
TEX3_18	~r~你的遥控直升机损坏了！
TEX3_19	~r~你想炸鱼还是怎么的。想炸鱼的话可以去玩GTA3。
TEX3_2	~g~引爆所有目标！炸弹安放顺序自定。
TEX3_20	~r~遥控直升机快要超出遥控范围了！
TEX3_21	~r~遥控直升机超出遥控范围！
TEX3_22	按~h~~k~~VEHICLE_ACCELERATE~~w~使直升机~h~上升~g~。
TEX3_23	按~h~~k~~VEHICLE_TURRETUP~~w~与~h~~k~~VEHICLE_TURRETDOWN~~w~让直升机倾斜。
TEX3_24	按~h~~k~~VEHICLE_LOOKLEFT~~w~让直升机逆时针旋转。
TEX3_25	按~h~~k~~VEHICLE_LOOKRIGHT~~w~让直升机顺时针旋转。
TEX3_26	按~h~~k~~VEHICLE_BRAKE~~w~使直升机~h~下降~g~。
TEX3_27	~g~中间的楼梯四通八达，借此便可通往各个楼层。
TEX3_28	若想~h~拾起~w~一枚炸弹，让直升机在它上方降落即可。
TEX3_29	若要丢下炸弹，请按~h~~k~~PED_FIREWEAPON~~w~。
TEX3_3	~g~若想~h~拾起~w~一枚炸弹，让直升机在它上方降落即可。
TEX3_30	~g~若想~h~拾起~w~一枚炸弹，让直升机在它上方降落即可。
TEX3_31	~r~TOPFUN面包车严重损坏！
TEX3_32	同时按住~h~~k~~VEHICLE_LOOKLEFT~~w~与~h~~k~~VEHICLE_LOOKRIGHT~~w~可以~h~向后看~w~。
TEX3_33	一旦你拾起一枚炸弹，地图上便会显示出目标的位置。
TEX3_34	~h~向上的三角形~w~表示，目标在直升机~h~之上~w~。
TEX3_35	~h~向下的三角形~w~表示，目标在直升机~h~之下~w~。
TEX3_36	~h~方形标注~w~表示，目标与直升机~h~同海拔~w~。
TEX3_37	Pushing ~h~back on the analog stick（不想翻译手柄文本）使直升机~h~下降~g~。
TEX3_38	按~h~~k~~VEHICLE_ACCELERATE~~w~使直升机~h~上升~g~。
TEX3_39	~g~按~h~~k~~VEHICLE_HANDBRAKE~~g~安放炸弹。
TEX3_4	~g~按~h~~k~~VEHICLE_HANDBRAKE~~g~安放炸弹。
TEX3_40	~g~按~h~~k~~VEHICLE_HANDBRAKE~~g~安放炸弹。
TEX3_5	~g~如果你没有成功安放炸弹的话，可以把它捡起来再试一次。
TEX3_6	~g~拾起第一枚炸弹后，爆炸倒计时便会开始。
TEX3_7	~g~你必须在七分钟内安放完所有炸弹！
TEX3_8	~g~歪啦歪啦！捡起来再试一次吧。
TEX3_A	看这儿，孩子。我遇到点儿烦心事，我觉得，你能助我一臂之力。
TEX3_B	我不会修房子。
TEX3_C	不，我是看上了你的“拆迁能力”。
TEX3_D	看这里，这栋是计划要建造的大厦，而这块嘛…
TEX3_E	这块地皮我们一直垂涎着。
TEX3_F	你的意思是，这栋新写字楼太碍事了。
TEX3_G	你理解得很快。
TEX3_H	这几天我要出城去办点事儿，
TEX3_I	如果说，那栋新写字楼突然出现不可克服的结构性问题的话，我..
TEX3_J	作为拥有公民意识的个体，有义务介入此事，并且
TEX3_K	有义务去主导重要地段的重建工作。
TEX3_L	你这样的人才哪里找呀？！
