FARE1	~g~乘客想去俱乐部浪浪！目的地：位于大洋海滩的~w~极点俱乐部~g~。
FARE10	~g~乘客想去海边偷窥比基尼女郎。目的地：位于罪城之角的~w~海滩~g~。
FARE11	~g~乘客得了重感冒！目的地：位于大洋海滩的~w~医院~g~。
FARE12	~g~乘客性生活遭遇挫折！目的地：位于罪城之角的~w~医院~g~。
FARE13	~g~乘客想去自首。目的地：位于华盛顿海滩的~w~警察局~g~。
FARE14	~g~乘客要去办理手续。目的地：位于罪城之角的~w~警察局~g~。
FARE15	~g~乘客肚子饿啦。目的地：位于罪城之角的~w~披萨店~g~。
FARE2	~g~乘客发现刚才服务员没找零钱！目的地：位于罪城之角的~w~披萨店~g~。
FARE3	~g~乘客想去驾船兜风！目的地：位于大洋海滩的~w~船只停靠站~g~。
FARE4	~g~乘客看上了一把好枪。目的地：位于大洋海滩的~w~武装国度~g~。
FARE5	~g~乘客家里灯泡坏了。目的地：位于华盛顿海滩的~w~五金店~g~。
FARE6	~g~乘客想买Blondie乐队的新专辑！目的地：位于罪城之角的~w~北角购物中心~g~。
FARE7	~g~乘客是个土豪。目的地：位于罪城之角的~w~珠宝店~g~。
FARE8	~g~乘客想欣赏海景。目的地：~w~大洋海滩~g~。
FARE9	~g~乘客想去看看海。目的地：~w~华盛顿海滩~g~。
FARES	小费：
IN_ROW	~1~奖金已发放！ $~1~
MFARE1	~g~乘客前几天和邻居吵架了！目的地：位于市中心的~w~武装国度~g~。
MFARE2	~g~乘客准备去自由城旅游！目的地：~w~埃斯科瓦尔国际机场~g~。
TAXI1	~g~寻找乘客。
TAXI3	~r~乘客被吓跑了！
TAXI4	任务完成！
TAXI5	极速奖金已发放！
TAXI6	出租车任务结束
TAXI7	~r~出租车严重损坏！快把它修好！
TAXIH1	靠近一位打车的乘客，在时间耗尽前将其送到目的地。
TSCORE2	$~1~。
WFARE10	~g~乘客装逼被人打断了手。目的地：位于小哈瓦那的~w~医院~g~。
WFARE11	~g~乘客想去观看竞赛。目的地：位于市中心的~w~海曼体育馆~g~。
WFARE12	~g~乘客拿到了新的优惠券！目的地：位于小海地的~w~披萨店~g~。
WFARE13	~g~乘客是个吃货！目的地：位于市中心的~w~披萨店~g~。
WFARE14	~g~乘客要找老板理论！目的地：位于罪城之港的~w~码头~g~。
WFARE15	~g~乘客想买点伟哥。目的地：位于小海地的~w~药房~g~。
WFARE3	~g~乘客看上了一部好车！目的地：位于小哈瓦那的~w~阳光车行~g~。
WFARE4	~g~乘客要去加班。目的地：位于小海地的~w~考夫曼出租车公司~g~。
WFARE5	~g~乘客家里电视坏了。目的地：位于小哈瓦那的~w~五金店~g~。
WFARE6	~g~乘客家里摩托报废了。目的地：位于市中心的~w~老林摩托旗舰店~g~。
WFARE7	~g~乘客钱包被偷了！目的地：位于小哈瓦那的~w~警察局~g~。
WFARE8	~g~乘客想搞个大新闻！目的地：位于市中心的~w~警察局~g~。
WFARE9	~g~乘客得了低烧。目的地：位于市中心~w~医院~g~。
