BJM2_1	~g~前往市中心的武装国度，和菲尔·卡西迪会面。
BJM2_11	~r~菲尔死了！
BJM2_12	~r~射击者死了！
BJM2_14	~g~前往下一区域！
BJM2_15	分数：
BJM2_17	~g~和菲尔谈话。
BJM2_18	目标分数：
BJM2_19	~g~在时限内，尽可能多地击中目标！
BJM2_2	~g~按~h~~k~~PED_JUMPING~~g~离开射击场。
BJM2_20	~g~一旦~w~时间~g~或~w~弹药~g~耗尽，任务便会自动结束。
BJM2_22	~r~你离开了射击场。
BJM2_23	~g~离开射击场的话，任务就会自动结束。
BJM2_24	~g~最近的目标为一分。
BJM2_25	~g~中等距离的目标为两分。
BJM2_26	~g~远处的目标为三分。
BJM2_27	~g~本局中所有的目标都是一分。
BJM2_28	第三局得分：~1~
BJM2_2A	你就是菲尔·卡西迪？
BJM2_2B	干嘛？
BJM2_2C	我在找一个会打枪的。在打枪这方面，我不是很在行。
BJM2_2D	小子，老夫能在八十英尺外打掉你头上的苍蝇。
BJM2_2E	真的吗？
BJM2_2F	对。老子在军队学的。
BJM2_2G	军队里流行玩这个？还好我不交税。
BJM2_2H	你在搞笑吗，小子？
BJM2_2I	哈哈哈哈哈！
BJM2_2J	来练练手吧！
BJM2_3	命中率：~1~%
BJM2_4	第一局得分：~1~
BJM2_6	第二局得分：~1~
BJM2_7	总得分：~1~
BJM2_9	~g~前往第二局的开始地点。
BJM2_A	我们还需要一位打枪的。你知道有谁吗？
BJM2_B	嘿，汤米，汤米，汤米。这包毒品真是爽翻天了，老兄！
BJM2_C	哇喔！
BJM2_D	我可以帮你打枪，伙计！撸一炮！撸一炮！
BJM2_E	给自己撸去吧，你个智障。
BJM2_F	赶紧去喝杯酒，消停点儿。
BJM2_G	嘿，别挡我路！耶耶耶，喔喔喔！
BJM2_H	卡姆，你怎么看？
BJM2_I	本地最厉害的枪手姓“卡西迪”。
BJM2_J	是吗？
BJM2_K	没错。是个越战老兵，反正他是这么说的。
BJM2_L	我不知道他是不是真的当过兵，不过他的的确确知道上哪儿去搞来军火。
BJM2_M	他一般在射击场那里出没。
BJM2_N	放轻松。
BNK2_1	实弹射击
BNK2_2	准备！3，2，1…开火！
BNK2_3	本区域已完成！
BNK2_4	呼咦！
BNK2_5	什么都打不中！
BNK2_7	那么，你想不想帮我个忙，搞定一件“大事”？
BNK2_8	小子，看你射得这么准。要我当你的老婆我都愿意。
BNK2_9A	小子，你最好把你的满口大话和白日梦收回去。你什么也打不着！
BNK2_9B	你什么也打不中。
RANGE_1	得分： ~1~
