HAT2_1	喔，不好意思，我，我一定是走错了…
HAT2_10	我外甥制作了几颗用来杀死他们的飞弹。
HAT2_11	把那些赛艇炸到棺材里去吧。
HAT2_12	感谢款待…
HAT2_2	且慢，何不进来休息一下，喝杯小茶呢。
HAT2_3	到这儿来，是有什么要给我的吗，汤米？
HAT2_4	是…
HAT2_5	这个地方我好熟悉，是一种儿时的味道，一种既视感…
HAT2_6	听着汤米，我要偷偷交给你一个小差事，好好听着，啊?
HAT2_7	你很像我认识的一个…
HAT2_8	古巴帮的人总是驾驶赛艇在海上运送毒品。
HAT2_9	他们以此为生。
HAT2_B1	~g~到有遥控飞弹的车子那儿去。
HAT2_B2	杀死那些古巴人…
HAT2_B3	按~h~~k~~PED_FIREWEAPON~~w~释放飞弹。按~h~~k~~VEHICLE_ENTER_EXIT~~w~取消。
HAT2_B4	…并且摧毁掉他们的赛艇！
HAT2_B5	~g~古巴佬正在逃跑。不要让他们逃走！
HAT2_B6	~r~遥控飞机正在离开遥控范围！
HAT2_B7	~g~有一个古巴人在坐车逃离了。不要留下任何目击者！
HAT2_B8	~r~飞机全用完了！
HAT2_B9	飞机剩余数：
