TAXC_A	你就是那个新老板了吧。
TAXC_A1	如果你想找点事干，就一起开车挣点钱吧。
TAXC_B	你是道上哪家的？从南美来的么？也不像墨西哥帮的呀…
TAXC_C	不管怎么说，别说“一切都会有起色的”之类的废话，
TAXC_D	可能会吓到司机们的，
TAXC_E	去和泰德作搭档吧，他这几天才大疝痊愈的。
TAXC_F	那好吧。一切都会有起色的，夫人。
TAXC_G	噢，孩子。把这句话留给我吧，
TAXC_H	老娘可是身经百战，见得多了。
TAXC_I	现在听好！
TAXC_J	老板又换人了，一切都会“再次”有起色的。
TAXC_K	我们的新老板，叫——
TAXC_L	你是道上哪派的？
TAXC_M	我自成一派。
TAXC_N	你叫什么名字，年轻人？
TAXC_O	维赛迪——汤米·维赛迪。
TAXC_P	我们的新老板，是维赛迪帮的头儿，
TAXC_Q	以后就他罩我们了。
TAXC_R	明白没（意大利语）？发车吧！
TAXC_S	你喜欢这词么？我很喜欢这种说法喔。
TAXC_T	我们这一行这样竞争——
TAXC_U	老司机们每日发车赚钱，
TAXC_V	如果竞争公司来搅局的话，你的帮派出面摆平。
TAXC_W	接着他们复仇，
TAXC_X	再接着我们复仇。
TAXC_Y	循环反复，你明白了没有？
TAXC_Z	呃…啊…应该把…
