PIZ1_01	~g~前去派送披萨。投掷披萨的方式和驾驶射击方式相同。
PIZ1_02	~g~你把披萨扔完了，回到店里去取得更多披萨。
PIZ1_05	~g~在五分钟之内把披萨送到顾客手里，慢了的话顾客会取消订单的！
PIZ1_06	在摩托车上时，按~h~ ~k~~TOGGLE_SUBMISSIONS~~w~取消任务。
PIZ1_07	~r~卧槽你把顾客给杀了？！你他妈被解雇了！
PIZ1_08	~r~顾客等不及，订了其他店的外卖！妈的你被解雇了！
PIZ1_09	~r~谁叫你把车搞烂的？！妈的你被解雇了！
PIZ1_11	宅急送一刻都不能缓的！赶紧继续出发！
PIZ1_12	剩余披萨数：
PIZ1_13	香味四溢的披萨刚刚出炉！赶紧把它们送出去吧！
PIZ1_14	伙计，这是给你的披萨。
PIZ1_15	喂，打杂的！尽快把这些送过去。
PIZ1_16	打杂的，你在干什么呢？有活儿要干啊！
PIZ1_17	做学生的就是要好好学习做学霸，送外卖的就是好好好送披萨做送霸！
PIZ1_18	把这些送过去吧。
PIZ1_19	这些需要送过去。
PIZ1_20	打杂的，把这些送过去，不然就给我滚蛋！
PIZ1_21	有顾客在等着呢，伙计。
PIZ1_22	妈的你在干什么呢？有活儿要干啊！
PIZ1_23	把这些东西送过去，妈的。
PIZ1_24	拿着，伙计，这些是要送过去的。
PIZ1_25	兄弟，这单能不能搞定？
PIZ1_26	老兄，赶紧把这些披萨送到顾客那儿去吧。
PIZ1_27	赶紧的！我们时间很紧，快送过去！
PIZ1_28	又是你？赶快把这些送走吧！伙计。
PIZ1_29	别浪费时间，哥们！
PIZ1_30	你个小懒蛋，赶紧把送过去！
PIZ1_31	想升职就给我跑快一点！
PIZ1_32	~r~披萨有那么热吗？
PIZ1_33	~g~回到餐厅接受更多订单。
PIZ1_34	~g~披萨已送达！工资已经打过来咯！
PIZ_WON	披萨任务完成。托马斯·“汤米”·维赛迪的最大生命值已升至150。
