COK4_1	汤米，既然我们已经查清幕后黑手是迪亚兹…
COK4_12	留心点儿！他们开始四面包抄了！
COK4_13	拿到了！速速返回迪亚兹的豪宅！
COK4_14	想吃我一枪么？！
COK4_15	跟鱼儿一起长眠吧！
COK4_16	看招！看招！
COK4_19	前面麻烦不少！
COK4_20	栈道上有拿着家伙的！
COK4_24	打得真不错，老兄。你真是个超正宗的“A级狂人”。
COK4_25	好吧，谢谢。
COK4_26	下次再会，汤米。
COK4_27	OK，舞娘”兰斯·万斯“。
COK4_28	~g~超过其他竞争者，第一个到达毒贩那里！
COK4_3	为什么还要继续给他跑腿儿呢？
COK4_31	~g~乘上赛艇。
COK4_32	~r~看来，古巴帮的人跑得比谁都快啊。
COK4_33	~r~赛艇被毁了！你等于…你也有责任吧！
COK4_34	~g~解决那些船只！
COK4_35	耐久：
COK4_4	现在我们学的越多，以后称霸一方的时候要学的就越少！
COK4_5	我喜欢你的风格，伙计。太屌了。
COK4_A	出来啊！塑料垃圾！
COK4_B	你这样对我啊？！
COK4_C	你以为你算老几啊？！你个塑料垃圾！啊！
COK4_D	你妈逼！
COK4_E	这部艾尔·布罗的毛片我最喜欢了！它被吞掉了！
COK4_F	还能怎么办呢？
COK4_G	可能是没有插电。
COK4_H	什么？！
COK4_I	妈的…没事，我能买它一百个。
COK4_J	听着，汤米，
COK4_K	每个月都有自由职业者开船到罪恶都市来，然后停船待客。
COK4_L	他们把毒品卖给第一个到的人。
COK4_M	我要你驾驶最快的赛艇，
COK4_N	打败所有的竞争对手，
COK4_O	接着把毒品给我带回来，OK？
COK4_P	我看，你是觉得我需要一个“守护天使”是吧？
COK4_Q	我只是觉得你需要我助你一臂之力，老兄。
COK4_R	你怎么装高冷、打发我都无所谓，
COK4_S	我可知道，总有一天我可以救你的小命，
COK4_T	而且，你很可能还会想要亲亲我喔！
COK4_U	智障。
COK4_V	哈哈哈哈哈哈！
