CAP1B10	截杀成功！可别大意了，弗雷利黑手党还有动作！
CAP1_10	我非宰了你小子不可，维赛迪！
CAP1_11	你小子总是这么不安分！
CAP1_12	维赛迪，你小子死定了！
CAP1_2	可别忘了江湖规矩，维赛迪！
CAP1_3	弗雷利先生向您问好！
CAP1_4	我可是“哈伍德屠夫”！
CAP1_5	回去告诉桑尼——滚远点儿！
CAP1_6	现在罪恶都市是我的！没他的份儿！
CAP1_7	维赛迪，你小子还真自不量力啊！
CAP1_8	在你死前，我们是不会善罢甘休的，维赛迪！
CAP1_9	没机会的，你个疯鸟人！
CAP1_B0	~g~弗雷利家族的先锋已经洗劫了电影厂！
CAP1_B1	~g~老东家的人正在洗劫你的资产，追杀他们！
CAP1_B2	~g~弗雷利家族的先锋已经洗劫了船厂！
CAP1_B3	~g~弗雷利家族的先锋已经洗劫了冰淇淋厂！
CAP1_B4	~g~弗雷利家族的先锋已经洗劫了阳光车行！
CAP1_B5	~g~弗雷利家族的先锋已经洗劫了出租车公司！
CAP1_B6	~g~弗雷利黑手党的先锋在那里！快动手！
CAP1_B7	~g~跟丢了！资产要被洗劫了！
CAP1_B8	~r~黑手党弗雷利家族的先锋已经洗劫了你的全部资产。
CAP1_B9	~g~弗雷利家族的先锋已经洗劫了马里布俱乐部！
CAP1_C0	~g~弗雷利家族的先锋已经抵达电影厂！
CAP1_C2	~g~弗雷利家族的人已经抵达船厂！
CAP1_C3	~g~弗雷利家族的先锋已经抵达冰淇淋厂！
CAP1_C4	~g~弗雷利家族的先锋已经抵达阳光车行！
CAP1_C5	~g~弗雷利家族的先锋已经抵达出租车公司！
CAP1_C9	~g~弗雷利家族的先锋已经抵达马里布俱乐部！
CAP1_D0	~g~弗雷利家族的先锋正在离开电影厂！
CAP1_D2	~g~弗雷利家族的先锋正在离开船厂！
CAP1_D3	~g~弗雷利家族的先锋正在离开冰淇淋厂！
CAP1_D4	~g~弗雷利家族的先锋正在离开阳光车行！
CAP1_D5	~g~弗雷利家族的先锋正在离开出租车公司！
CAP1_D9	~g~弗雷利家族的先锋正在离开马里布俱乐部！
CAP_01	OK，什么状况？
CAP_02	谁？！
CAP_03	汤米…来了几个道上的…自称是来夺回欠款的…
CAP_04	…还说这是弗雷利先生的钱…我听着像是胡说八道…
CAP_05	弗雷利？！桑尼·弗雷利？！
CAP_06	是啊，就叫这名字…我看…他们是不会善罢甘休的…
CAP_07	别担心，老伯，我不怪你。
CAP_08	快送他去医院。
CAP_09	汤米…替我在他屁眼上开一个洞…
CAP_10	我要给他开两个！
